ranking,country,ECI
1,Spain,1.5108687578015467
2,France,1.40321111970323
3,Poland,1.3490161182115603
4,Denmark,1.2318377366079503
5,Netherlands,1.1611645252032732
6,Belgium,1.1355317542274834
7,Austria,1.1018429695164456
8,Italy,1.0945193206662198
9,New Zealand,1.0754778336556332
10,Bonaire, Saint Eustatius and Saba,1.0502112451223549
11,Germany,1.0260432039166103
12,Luxembourg,1.006269352021001
13,Portugal,1.0037060749234221
14,Algeria,0.9388917825989254
15,Ukraine,0.9359623230588351
16,United Kingdom,0.8986117139226844
17,Indonesia,0.8857953284347895
18,Czech Republic,0.8839644162222331
19,Israel,0.882499686452188
20,Switzerland,0.8162206643576461
21,United States of America,0.7957144475770143
22,Korea (Republic of),0.7953482651345031
23,Estonia,0.7763067781239164
24,Bulgaria,0.7700816766012246
25,Australia,0.7598285682109087
26,Croatia,0.7396885338727883
27,Hungary,0.7385899865452544
28,Romania,0.7378576216602318
29,Canada,0.7327310674650739
30,Brazil,0.7305339728100062
31,Lithuania,0.7202808644196904
32,Greece,0.6609593087328628
33,Malta,0.6459458285899002
34,Turkey,0.6323970782169829
35,India,0.6239748820392234
36,Moldova (Republic of),0.6177497805165316
37,Slovenia,0.6038348477011029
38,Guatemala,0.5994406583909675
39,Philippines,0.5895537324431629
40,Sweden,0.5763711645127568
41,Georgia,0.5631885965823507
42,Latvia,0.5569634950596589
43,Cyprus,0.5199790683660195
44,Barbados,0.5166834263834179
45,Ireland,0.5038670408955231
46,Norway,0.4961772096027862
47,Cuba,0.4851917363274478
48,Slovakia,0.48152991190233496
49,Mexico,0.3965755852397177
50,Russian Federation,0.3383525768804239
51,Malaysia,0.3002696028592507
52,Monaco,0.2713411899008595
53,Peru,0.2687779128032805
54,Egypt,0.2625528112805887
55,North Macedonia (Republic of),0.25413061510282925
56,Viet Nam,0.23472294564973134
57,South Africa,0.23435676320722004
58,Serbia,0.20103416093869345
59,Saint Vincent and the Grenadines,0.16368355180254274
60,Albania,0.11498128694854233
61,Dominican Republic,0.08971469841526393
62,United Arab Emirates,0.08532050910512855
63,Argentina,0.04650517019893273
64,Singapore,-0.027097500745834818
65,Japan,-0.029294595400902505
66,Cambodia,-0.034054967153549165
67,China,-0.0607862854568727
68,Tunisia,-0.08422196177759471
69,Belarus,-0.1629511869175202
70,Andorra,-0.19847088384111447
71,Samoa,-0.21934328306425752
72,Liechtenstein,-0.225202202144438
73,Iceland,-0.24607460136758105
74,Seychelles,-0.28562230515879944
75,Bosnia and Herzegovina,-0.3735060913615069
76,Uruguay,-0.3797311928841987
77,Sri Lanka,-0.4665164317593724
78,Chile,-0.4690797088569514
79,Colombia,-0.5163172439409066
80,Morocco,-0.6840288026110735
81,Saudi Arabia,-0.6979437354265022
82,Qatar,-0.6994084651965473
83,Costa Rica,-0.7488430949355703
84,Panama,-0.8257414078629394
85,Jordan,-0.8455152597585486
86,Iran (Islamic Republic of),-1.0110297237736476
87,Lebanon,-1.021649014606475
88,Oman,-1.0611967183976934
89,Guinea,-1.1871634786215741
90,Ghana,-1.2710192579566575
91,Pakistan,-1.335467367838643
92,Sudan,-1.4193231471737264
93,Mauritius,-1.5137982173416369
94,Bangladesh,-1.5881332531714272
95,Bahrain,-1.6628344714437284
96,Kyrgyzstan,-1.6701581202939542
97,Ethiopia,-1.766464102674421
98,Kazakhstan,-1.9272181949368736
99,Armenia,-2.0026517780941977
100,Nepal,-2.085042827659236
101,Syrian Arab Republic,-2.1158021528301836
102,Nigeria,-2.1667015123392517
103,Curacao,-2.169997154321853
104,Korea (Democratic People's Republic of),-2.4116775663792986
105,Zambia,-2.9657116018988674
