ranking,country,ECI
0,Sweden,1.349583556265601
1,United Kingdom,1.204994441587136
2,New Zealand,1.1919660937980872
3,United States of America,1.1355099200455416
4,Germany,1.114306922663364
5,Australia,1.1043440684717383
6,Netherlands,1.0997458280756032
7,Canada,1.0775209994942845
8,Korea (Republic of),1.0749664214964316
9,Poland,1.0550407131131803
10,Austria,1.0450778589215546
11,Japan,1.0450778589215546
12,Switzerland,1.0011391173584876
13,Czech Republic,0.9686959767857578
14,India,0.886694023054685
15,Israel,0.8396897878941947
16,Denmark,0.8333033428995628
17,Portugal,0.8294714759027837
18,Slovenia,0.8289605603032131
19,Belgium,0.8284496447036426
20,Turkey,0.8187422483118022
21,Belize,0.8159322125141641
22,Norway,0.805458442722968
23,Italy,0.7983056243289803
24,Hungary,0.7937073839328453
25,Liechtenstein,0.7750589645485204
26,Barbados,0.7684170617541033
27,South Africa,0.7464476909725697
28,Ukraine,0.7081290210047787
29,Ireland,0.7017425760101468
30,Slovakia,0.6933124686172328
31,France,0.6887142282210978
32,Brazil,0.6749195070326931
33,Philippines,0.6544828830498712
34,Estonia,0.6488628114545952
35,Spain,0.6381335838636137
36,Malaysia,0.6194851644792887
37,Croatia,0.6069677322898103
38,Malta,0.579633747712786
39,Singapore,0.5540879677342586
40,Qatar,0.5474460649398415
41,Peru,0.5180684179645351
42,Costa Rica,0.517046586765394
43,Saint Vincent and the Grenadines,0.5083610215726947
44,Indonesia,0.5029964077772039
45,Iceland,0.4455184028255173
46,Luxembourg,0.4189507916478489
47,Latvia,0.34410165631076367
48,Monaco,0.34103616271334036
49,Cyprus,0.3234095745281565
50,Lithuania,0.29505375875199114
51,Kenya,0.2707852677723901
52,Viet Nam,0.2603114979811939
53,Mexico,0.24983772818999767
54,Bulgaria,0.2485604391910713
55,Russian Federation,0.24523948779386273
56,Belarus,0.23987487399837198
57,Sri Lanka,0.23272205560438433
58,Colombia,0.23170022440524324
59,Serbia,0.22556923721039668
60,Argentina,0.20078983063122513
61,Romania,0.18009774884861796
62,Egypt,0.1525083064718084
63,China,0.08302378493021395
64,Iran (Islamic Republic of),0.07101726834030608
65,Greece,0.010473769791196222
66,United Arab Emirates,-0.13258259808855705
67,North Macedonia (Republic of),-0.13437080268705395
68,Andorra,-0.1709012680563481
69,Venezuela (Bolivarian Republic of),-0.17882045984969158
70,Mauritius,-0.2076871912254275
71,Moldova (Republic of),-0.2661870273762552
72,Georgia,-0.28279178436229796
73,Dominican Republic,-0.3290296461234325
74,Chile,-0.32979601952278836
75,Bosnia and Herzegovina,-0.3389925003150582
76,Cuba,-0.4049006126596588
77,Panama,-0.4398983312302413
78,Montenegro,-0.4634004488104865
79,Seychelles,-0.46774323140683616
80,Oman,-0.49047897558772546
81,Saudi Arabia,-0.4930335535855782
82,Cambodia,-0.4930335535855782
83,Bahamas,-0.5362059217492895
84,Trinidad and Tobago,-0.5714590981196572
85,Samoa,-0.6984216246129383
86,Morocco,-0.792430094933919
87,Albania,-0.8412225346929063
88,Ecuador,-0.8565500026800227
89,Bahrain,-0.8805630358598384
90,Jordan,-0.9012551176424456
91,Guatemala,-0.9078970204368627
92,Pakistan,-1.0460996901206958
93,Lebanon,-1.11073051346637
94,Nepal,-1.2642606511373196
95,Tunisia,-1.523294860119587
96,Syrian Arab Republic,-1.5503733868968261
97,Kazakhstan,-1.6096395964470096
98,Korea (Democratic People's Republic of),-1.7268947265484502
99,Kyrgyzstan,-1.7838618159005661
100,Lao People's Democratic Republic,-1.921809027784614
101,Algeria,-2.3374388680352545
102,Democratic Republic of the Congo,-2.390318632590806
103,Armenia,-2.515237496685805
104,Nigeria,-2.6909924629380733
105,Paraguay,-2.7548569128843914
106,Yemen,-3.3960559903454284
