rank	PCI	category
1	3.103813599384811	Outdoor Gear and Camping Equipment Design Award Category.
2	3.103813599384811	Office and Business Appliances Design Award Category.
3	2.6730491649949597	Heavy Machinery Design Award Category.
4	1.7060792580464845	Vehicle Parts, Auto Accessories and Care Products Design Award Category.
5	1.4259175600907263	Garden and Outdoor Furniture Design Award Category.
6	1.2818442993162356	Camera and Photography Equipment Design Award Category.
7	1.2803575546370136	Engineering, Construction and Infrastructure Design Award Category.
8	1.240153423116368	Car and Land Based Motor Vehicles Design Award Category.
9	1.2372496869801515	Construction and Real Estate Projects Design Award Category.
10	1.0995560728526468	Agricultural Tools, Equipment and Machinery Design Award Category.
11	1.053762761337518	Hardware, Power and Hand Tools Design Award Category.
12	1.0149204861512797	Audio and Sound Equipment Design Award Category.
13	0.9123215829985357	Disposable and Single-Use Product Design Award Category.
14	0.9008216720778274	Manufacturing and Processing Machinery Design Award Category.
15	0.8958328176546189	Cybernetics, Prosthesis and Implant Design Award Category.
16	0.7896416023640876	Wearable Technologies Design Award Category.
17	0.784611795885468	Aerospace and Aircraft Design Award Category.
18	0.7188821515917949	Security, Safety and Surveillance Products Design Award Category.
19	0.6802590342847862	Scientific Instruments and Research Equipment Design Award Category.
20	0.5739631127567907	Meta, Strategic and Service Design Award Category.
21	0.4744218993543945	Beauty, Personal Care and Cosmetic Products Design Award Category.
22	0.44936716287104345	Public Awareness, Volunteerism, and Society Design Award Category.
23	0.4283597219188713	Design Quality and Innovation Award Category.
24	0.39612843485668714	Idea Design Award Category.
25	0.37841293121367947	Urban Planning and Urban Design Award Category.
26	0.3763051780131111	Performing Arts, Style and Scenery Design Award Category.
27	0.3657715650124819	Footwear, Shoes and Boots Design Award Category.
28	0.35569044808284667	Energy Products, Projects and Devices Design Award Category.
29	0.3057976545548489	Futuristic Design Award Category.
30	0.2952710705760691	Sports, Entertainment and Recreation Equipment Design Award Category.
31	0.23419665932085412	Music, Audio and Sound Design Award Category.
32	0.20925815664132125	Generative, Algorithmic and Parametric Design Award Category.
33	0.1743925383603964	Engineering and Technical Design Award Category.
34	0.1594814892995396	Safety Clothing and Personal Protective Equipment Design Award Category.
35	0.1344047152470184	3D Printed Forms and Products Design Award Category.
36	0.10885406905448118	Digital and Electronic Devices Design Award Category.
37	0.06517567540997421	Medical Devices and Medical Equipment Design Award Category.
38	-0.002137535740937469	Awards, Prize and Competitions Design Award Category.
39	-0.02137417261906198	Limited Edition and Custom Design Award Category.
40	-0.024228410412333215	Digital and Broadcasting Media Design Award Category.
41	-0.026104257380316003	Art Materials, Stationery Supplies and Gift Items Design Award Category.
42	-0.03580517802892688	Mobile Technologies, Applications and Software Design Award Category.
43	-0.038996919121240335	Cultural Heritage and Culture Industry Design Award Category.
44	-0.08390944797025716	Computers and Peripheral Devices Design Award Category.
45	-0.1001788235248139	Yacht and Marine Vessels Design Award Category.
46	-0.1116884946045017	Education, Teaching Aid and Training Content Design Award Category.
47	-0.12468909454968842	Prosumer Products, Tools, and Machinery Design Award Category.
48	-0.1344409462107111	Robotics, Automaton and Automation Design Award Category.
49	-0.1380611318172483	Baby, Kids' and Children's Products Design Award Category.
50	-0.19769575217919627	Home Appliances Design Award Category.
51	-0.2012210167533661	Toy, Games and Hobby Products Design Award Category.
52	-0.2036559991760224	Information Technologies Design Award Category.
53	-0.24321864726354028	Building Materials and Construction Components Design Award Category.
54	-0.29974268250579883	Furniture Accessories, Hardware and Materials Design Award Category.
55	-0.3455245166729153	Movie, Video and Animation Design Award Category.
56	-0.3585677409954193	Event and Happening Design Award Category.
57	-0.3675791827554153	Street Furniture Design Award Category.
58	-0.4062710447100815	Pet Supplies and Products for Animals Design Award Category.
59	-0.4326736037107486	Textile, Fabric, Textures, Patterns and Cloth Design Award Category.
60	-0.44529145085516536	Fashion and Travel Accessories Design Award Category.
61	-0.4594812178657676	Social Design Award Category.
62	-0.461352611399666	Food, Beverage and Culinary Arts Design Award Category.
63	-0.4775933629333265	Interface and Interaction Design Award Category.
64	-0.4781869865215303	Vehicle, Mobility and Transportation Design Award Category.
65	-0.487790589351999	Landscape Planning and Garden Design Award Category.
66	-0.5142195771854384	Hospitality, Restaurant and Catering Products Design Award Category.
67	-0.5319127156993182	Luxury Design Award Category.
68	-0.5344997213345103	Musical Instruments Design Award Category.
69	-0.5381636003598164	Sustainable Products, Projects and Green Design Award Category.
70	-0.5549503446574311	Bathroom Furniture and Sanitary Ware Design Award Category.
71	-0.5699970993386019	Differently Abled and Seniors' Assistance Design Award Category.
72	-0.6806191300750573	Arts, Crafts and Ready-Made Design Award Category.
73	-0.6902200654304517	Bakeware, Tableware, Drinkware and Cookware Design Award Category.
74	-0.7221309072731674	Fashion, Apparel and Garment Design Award Category.
75	-0.7265207643562426	Website and Web Design Award Category.
76	-0.7637949261989878	Print and Published Media Design Award Category.
77	-0.9645198251246685	Hospitality, Recreation, Travel and Tourism Design Award Category.
78	-1.0068632658635184	Lighting Products and Lighting Projects Design Award Category.
79	-1.258304724212629	Jewelry, Eyewear and Watch Design Award Category.
80	-1.3455419486950817	Packaging Design Award Category.
81	-1.4537071676078548	Graphics, Illustration and Visual Communication Design Award Category.
82	-1.4673654926702153	Computer Graphics and 3D Model Design Award Category.
83	-1.5704915869257359	Furniture Design Award Category.
84	-1.712940087978076	Advertising, Marketing and Communication Design Award Category.
85	-1.8216183524535223	Photography and Photo Manipulation Design Award Category.
86	-2.171719585323601	Architecture, Building and Structure Design Award Category.
87	-3.0805788993006145	Interior Space and Exhibition Design Award Category.
88	nan	Office Furniture Design Award Category.
89	nan	Heating, Ventilation, and Air Conditioning Products Design Award Category.
90	nan	Kitchen Furniture, Equipment and Fixtures Design Award Category.
91	nan	Wholesale, Retail Trade, Commerce and E-Commerce Design Award Category.
92	nan	Video and Broadcasting Equipment Design Award Category.
93	nan	Entertainment, Content Creation and Streaming Media Design Award Category.
94	nan	Industrial Equipment and Heavy-duty Appliances Design Award Category.
