dir,country_name_flag
countrys-flags/png/mozambique.png,mozambique
countrys-flags/png/myanmar.png,myanmar
countrys-flags/png/namibia.png,namibia
countrys-flags/png/nato.png,nato
countrys-flags/png/nauru.png,nauru
countrys-flags/png/nepal.png,nepal
countrys-flags/png/netherlands.png,netherlands
countrys-flags/png/new-zealand.png,new zealand
countrys-flags/png/nicaragua.png,nicaragua
countrys-flags/png/niger.png,niger
countrys-flags/png/nigeria.png,nigeria
countrys-flags/png/niue.png,niue
countrys-flags/png/norfolk-island.png,norfolk island
countrys-flags/png/north-korea.png,north korea
countrys-flags/png/northen-cyprus.png,northen cyprus
countrys-flags/png/northern-marianas-islands.png,Northern Mariana Islands
countrys-flags/png/norway.png,norway
countrys-flags/png/oman.png,oman
countrys-flags/png/orkney-islands.png,orkney islands
countrys-flags/png/ossetia.png,ossetia
countrys-flags/png/pakistan.png,pakistan
countrys-flags/png/palau.png,palau
countrys-flags/png/palestine.png,palestine
countrys-flags/png/panama.png,panama
countrys-flags/png/papua-new-guinea.png,papua new guinea
countrys-flags/png/paraguay.png,paraguay
countrys-flags/png/peru.png,peru
countrys-flags/png/philippines.png,philippines
countrys-flags/png/pitcairn-islands.png,pitcairn islands
countrys-flags/png/portugal.png,portugal
countrys-flags/png/puerto-rico.png,puerto rico
countrys-flags/png/qatar.png,qatar
countrys-flags/png/rapa-nui.png,rapa nui
countrys-flags/png/republic-of-macedonia.png,republic of macedonia
countrys-flags/png/republic-of-poland.png,republic of poland
countrys-flags/png/republic-of-the-congo.png,republic of the congo
countrys-flags/png/romania.png,romania
countrys-flags/png/russia.png,russia
countrys-flags/png/rwanda.png,rwanda
countrys-flags/png/saba-island.png,saba island
countrys-flags/png/saint-kitts-and-nevis.png,saint kitts and nevis
countrys-flags/png/salvador.png,El Salvador
countrys-flags/png/samoa.png,samoa
countrys-flags/png/san-marino.png,san marino
countrys-flags/png/sao-tome-and-principe.png,sao tome and principe
countrys-flags/png/sardinia.png,sardinia
countrys-flags/png/saudi-arabia.png,saudi arabia
countrys-flags/png/scotland.png,scotland
countrys-flags/png/senegal.png,senegal
countrys-flags/png/serbia.png,serbia
countrys-flags/png/seychelles.png,seychelles
countrys-flags/png/sierra-leone.png,sierra leone
countrys-flags/png/singapore.png,singapore
