ranking,product,PCI
1,Outdoor Gear and Camping Equipment Design Award Category.,2.098383428602204
2,Manufacturing and Processing Machinery Design Award Category.,2.053984547507554
3,Disposable and Single-Use Product Design Award Category.,1.6898877202584541
4,Hardware, Power and Hand Tools Design Award Category.,1.3989872914172254
5,Security, Safety and Surveillance Products Design Award Category.,1.3531582853092776
6,Music, Audio and Sound Design Award Category.,1.3290411771304853
7,Scientific Instruments and Research Equipment Design Award Category.,1.3246857964081697
8,Cybernetics, Prosthesis and Implant Design Award Category.,1.3077843189782883
9,Footwear, Shoes and Boots Design Award Category.,1.1149124592303719
10,Car and Land Based Motor Vehicles Design Award Category.,1.0533520779761498
11,Digital and Broadcasting Media Design Award Category.,0.9985522876938804
12,Aerospace and Aircraft Design Award Category.,0.9210005085636936
13,Home Appliances Design Award Category.,0.8906428548723296
14,Public Awareness, Volunteerism, and Society Design Award Category.,0.8471540533315962
15,Meta, Strategic and Service Design Award Category.,0.8468940306019057
16,Energy Products, Projects and Devices Design Award Category.,0.6877601200313296
17,Audio and Sound Equipment Design Award Category.,0.6668932959736683
18,Heating, Ventilation, and Air Conditioning Products Design Award Category.,0.6392658809440545
19,Beauty, Personal Care and Cosmetic Products Design Award Category.,0.6282799206146314
20,Construction and Real Estate Projects Design Award Category.,0.6009775339971306
21,Education, Teaching Aid and Training Content Design Award Category.,0.5964271362275472
22,Agricultural Tools, Equipment and Machinery Design Award Category.,0.5560586074430995
23,3D Printed Forms and Products Design Award Category.,0.5231657321372534
24,Digital and Electronic Devices Design Award Category.,0.5187453457325152
25,Medical Devices and Medical Equipment Design Award Category.,0.5130898513617471
26,Prosumer Products, Tools, and Machinery Design Award Category.,0.5020388853499016
27,Garden and Outdoor Furniture Design Award Category.,0.4921580216216632
28,Design Quality and Innovation Award Category.,0.4690159986792101
29,Baby, Kids' and Children's Products Design Award Category.,0.45328462353293586
30,Office Furniture Design Award Category.,0.450684396236031
31,Wearable Technologies Design Award Category.,0.43859333930542355
32,Sports, Entertainment and Recreation Equipment Design Award Category.,0.40076003213545813
33,Information Technologies Design Award Category.,0.3733926398355347
34,Futuristic Design Award Category.,0.3425799463672124
35,Musical Instruments Design Award Category.,0.33776952586793846
36,Bakeware, Tableware, Drinkware and Cookware Design Award Category.,0.33679444063159913
37,Awards, Prize and Competitions Design Award Category.,0.3328940996862419
38,Safety Clothing and Personal Protective Equipment Design Award Category.,0.329448798517843
39,Engineering and Technical Design Award Category.,0.31391244041883654
40,Furniture Accessories, Hardware and Materials Design Award Category.,0.26509317291944823
41,Idea Design Award Category.,0.22940505326942934
42,Yacht and Marine Vessels Design Award Category.,0.1504881548083675
43,Robotics, Automaton and Automation Design Award Category.,0.14808294455873053
44,Vehicle, Mobility and Transportation Design Award Category.,0.0738464552320974
45,Fashion and Travel Accessories Design Award Category.,0.05570986983618615
46,Urban Planning and Urban Design Award Category.,0.04121360265594168
47,Art Materials, Stationery Supplies and Gift Items Design Award Category.,0.01579638082869689
48,Sustainable Products, Projects and Green Design Award Category.,-0.051874534573251516
49,Differently Abled and Seniors' Assistance Design Award Category.,-0.09458326792491348
50,Mobile Technologies, Applications and Software Design Award Category.,-0.09627341566790162
51,Interior Space and Exhibition Design Award Category.,-0.1235107966029798
52,Textile, Fabric, Textures, Patterns and Cloth Design Award Category.,-0.19183176882915443
53,Interface and Interaction Design Award Category.,-0.2417561329297273
54,Street Furniture Design Award Category.,-0.2632080081291922
55,Pet Supplies and Products for Animals Design Award Category.,-0.26918853091207334
56,Fashion, Apparel and Garment Design Award Category.,-0.4190266288962146
57,Bathroom Furniture and Sanitary Ware Design Award Category.,-0.42617725396270295
58,Toy, Games and Hobby Products Design Award Category.,-0.43950341885934024
59,Luxury Design Award Category.,-0.4421036461562451
60,Cultural Heritage and Culture Industry Design Award Category.,-0.5648343745701534
61,Building Materials and Construction Components Design Award Category.,-0.6219743694196372
62,Social Design Award Category.,-0.6300350740400422
63,Food, Beverage and Culinary Arts Design Award Category.,-0.6392008752616318
64,Website and Web Design Award Category.,-0.6419311139233819
65,Lighting Products and Lighting Projects Design Award Category.,-0.6964058757935382
66,Movie, Video and Animation Design Award Category.,-0.7008912678806991
67,Jewelry, Eyewear and Watch Design Award Category.,-0.7796781549769156
68,Computer Graphics and 3D Model Design Award Category.,-0.86262540574818
69,Arts, Crafts and Ready-Made Design Award Category.,-0.8840122752652223
70,Landscape Planning and Garden Design Award Category.,-0.9635792305505103
71,Limited Edition and Custom Design Award Category.,-0.9841210261960586
72,Print and Published Media Design Award Category.,-1.0091482139287675
73,Performing Arts, Style and Scenery Design Award Category.,-1.0105133332596425
74,Event and Happening Design Award Category.,-1.2773616596045017
75,Generative, Algorithmic and Parametric Design Award Category.,-1.3952169618367134
76,Furniture Design Award Category.,-1.427004740541375
77,Packaging Design Award Category.,-1.4364955701750777
78,Hospitality, Recreation, Travel and Tourism Design Award Category.,-1.7522931753841702
79,Graphics, Illustration and Visual Communication Design Award Category.,-2.118015144693836
80,Advertising, Marketing and Communication Design Award Category.,-2.163194093977557
81,Photography and Photo Manipulation Design Award Category.,-2.496478227758335
82,Architecture, Building and Structure Design Award Category.,-3.596114351619391
