rank;university;country;score
1;University of Oxford;United Kingdom;95.6
2;Stanford University;United States;94.9
3;Harvard University;United States;94.8
4;California Institute of Technology;United States;94.5
5;Massachusetts Institute of Technology;United States;94.4
6;University of Cambridge;United Kingdom;94.0
7;University of California, Berkeley;United States;92.2
8;Yale University;United States;91.6
9;Princeton University;United States;91.5
10;The University of Chicago;United States;90.3
11;Imperial College London;United Kingdom;89.4
12;Johns Hopkins University;United States;89.2
13;University of Pennsylvania;United States;88.9
14;ETH Zurich;Switzerland;87.9
15;University of California, Los Angeles;United States;87.1
16;UCL;United Kingdom;86.9
17;Columbia University;United States;86.8
18;University of Toronto;Canada;86.0
19;Cornell University;United States;85.3
20;Duke University;United States;84.8
21;Tsinghua University;China;84.8
22;University of Michigan-Ann Arbor;United States;84.0
23;Peking University;China;83.9
24;Northwestern University;United States;83.6
25;National University of Singapore;Singapore;83.5
26;New York University;United States;81.9
27;London School of Economics and Political Science;United Kingdom;81.4
28;Carnegie Mellon University;United States;81.0
29;University of Washington;United States;80.4
30;University of Edinburgh;United Kingdom;79.4
31;University of Melbourne;Australia;78.9
32;LMU Munich;Germany;78.2
33;University of California, San Diego;United States;77.7
34;University of British Columbia;Canada;76.4
35;King’s College London;United Kingdom;76.1
36;Karolinska Institute;Sweden;76.0
37;The University of Tokyo;Japan;76.0
38;Georgia Institute of Technology;United States;75.8
39;University of Hong Kong;Hong Kong;75.2
40;McGill University;Canada;75.1
41;Technical University of Munich;Germany;74.8
42;Universität Heidelberg;Germany;74.3
43;École Polytechnique Fédérale de Lausanne;Switzerland;74.1
44;University of Texas at Austin;United States;74.0
45;KU Leuven;Belgium;73.7
46;Paris Sciences et Lettres – PSL Research University Paris;France;73.6
47;Nanyang Technological University, Singapore;Singapore;72.7
48;University of Illinois at Urbana-Champaign;United States;72.3
49;University of Wisconsin-Madison;United States;71.4
50;Washington University in St Louis;United States;71.1
51;University of Manchester;United Kingdom;70.9
52;The University of Sydney;Australia;70.9
53;University of Southern California;United States;70.4
54;Boston University;United States;70.3
55;Kyoto University;Japan;70.3
56;The Chinese University of Hong Kong;Hong Kong;70.1
57;The Hong Kong University of Science and Technology;Hong Kong;70.1
58;University of North Carolina at Chapel Hill;United States;70.1
59;Australian National University;Australia;69.8
60;Seoul National University;South Korea;69.7
61;Brown University;United States;69.5
62;The University of Queensland;Australia;69.4
63;Wageningen University & Research;Netherlands;69.4
64;University of California, Davis;United States;68.9
65;Monash University;Australia;68.9
66;University of Amsterdam;Netherlands;68.8
67;UNSW Sydney;Australia;68.2
68;University of California, Santa Barbara;United States;67.9
69;McMaster University;Canada;67.5
70;Fudan University;China;66.7
71;Leiden University;Netherlands;66.7
72;Erasmus University Rotterdam;Netherlands;66.2
73;Université de Montréal;Canada;65.6
74;University of Zurich;Switzerland;65.6
75;Charité - Universitätsmedizin Berlin;Germany;65.4
76;Utrecht University;Netherlands;65.4
77;University of Warwick;United Kingdom;65.3
78;Delft University of Technology;Netherlands;65.2
79;University of Tübingen;Germany;65.2
80;University of Groningen;Netherlands;65.1
81;Humboldt University of Berlin;Germany;65.1
82;Ohio State University (Main campus);United States;65.1
83;University of Freiburg;Germany;64.7
84;University of Copenhagen;Denmark;63.8
85;Emory University;United States;63.7
86;University of Minnesota;United States;63.7
87;École Polytechnique – Institut Polytechnique de Paris;France;63.4
88;University of Science and Technology of China;China;63.4
89;Sorbonne University;France;63.4
90;University of Maryland, College Park;United States;63.1
91;University of Bristol;United Kingdom;63.0
92;University of Basel;Switzerland;62.9
93;University of Glasgow;United Kingdom;62.9
94;Purdue University West Lafayette;United States;62.5
95;Zhejiang University;China;62.5
96;Korea Advanced Institute of Science and Technology (KAIST);South Korea;62.4
97;National Taiwan University (NTU);Taiwan;62.3
98;University of California, Irvine;United States;62.1
99;University of Helsinki;Finland;62.1
100;Shanghai Jiao Tong University;China;61.8
101;Dartmouth College;United States;61.7
102;Sungkyunkwan University (SKKU);South Korea;61.7
103;Ghent University;Belgium;61.6
104;Lund University;Sweden;61.6
105;Michigan State University;United States;61.5
106;Aarhus University;Denmark;61.4
107;University of Birmingham;United Kingdom;61.3
108;RWTH Aachen University;Germany;61.3
109;University of Bern;Switzerland;61.2
110;Queen Mary University of London;United Kingdom;61.1
111;Nanjing University;China;61.0
112;Uppsala University;Sweden;61.0
113;Vanderbilt University;United States;61.0
114;University of Bonn;Germany;60.9
115;Penn State (Main campus);United States;60.9
116;Vrije Universiteit Amsterdam;Netherlands;60.8
117;University of Virginia (Main campus);United States;60.6
118;University of Adelaide;Australia;60.4
119;Free University of Berlin;Germany;60.4
120;Georgetown University;United States;60.1
121;Case Western Reserve University;United States;60.0
122;Maastricht University;Netherlands;60.0
123;University of Sheffield;United Kingdom;60.0
124;University of Arizona;United States;59.8
125;Rice University;United States;59.8
126;City University of Hong Kong;Hong Kong;59.7
127;University of Oslo;Norway;59.4
128;University of Southampton;United Kingdom;59.4
129;The Hong Kong Polytechnic University;Hong Kong;59.1
130;University of Göttingen;Germany;59.0
131;University of Alberta;Canada;58.9
132;University of Colorado Boulder;United States;58.9
133;University of Pittsburgh-Pittsburgh campus;United States;58.8
134;University of York;United Kingdom;58.8
135;University of Hamburg;Germany;58.6
136;Lancaster University;United Kingdom;58.4
137;Université Paris Cité;France;58.4
138;Radboud University Nijmegen;Netherlands;58.4
139;The University of Western Australia;Australia;58.3
140;Indiana University;United States;58.2
141;University of Mannheim;Germany;58.2
142;Technical University of Berlin;Germany;58.2
143;Ulm University;Germany;58.2
144;University of Würzburg;Germany;58.2
145;University of Cologne;Germany;58.0
146;University of Ottawa;Canada;58.0
147;University of Auckland;New Zealand;57.8
148;University of Rochester;United States;57.8
149;Durham University;United Kingdom;57.6
150;University of Geneva;Switzerland;57.6
151;Pohang University of Science and Technology (POSTECH);South Korea;57.5
152;University of Florida;United States;57.4
153;Pompeu Fabra University;Spain;57.4
154;TU Dresden;Germany;57.4
155;University of Cape Town;South Africa;57.3
156;Trinity College Dublin;Ireland;57.3
157;Tufts University;United States;57.3
158;Bielefeld University;Germany;56.9
159;University of Nottingham;United Kingdom;56.9
160;University of Leeds;United Kingdom;56.8
161;University of Sussex;United Kingdom;56.8
162;University of Technology Sydney;Australia;56.8
163;University of Liverpool;United Kingdom;56.7
164;Université Catholique de Louvain;Belgium;56.5
165;University of Vienna;Austria;56.5
166;Rutgers University–New Brunswick;United States;56.4
167;University of Bologna;Italy;56.3
168;Korea University;South Korea;56.3
169;University of Alabama at Birmingham;United States;56.2
170;University of Antwerp;Belgium;56.0
171;University of Leicester;United Kingdom;56.0
172;University of Notre Dame;United States;56.0
173;Sant’Anna School of Advanced Studies – Pisa;Italy;56.0
174;University of Exeter;United Kingdom;55.9
175;University of Exeter;Russian Federation;55.9
176;Northeastern University, US;United States;55.8
177;Ulsan National Institute of Science and Technology (UNIST);South Korea;55.8
