rank;university;country;score
1;University of Oxford;United Kingdom;98.5
2;Stanford University;United States;98.0
3;Massachusetts Institute of Technology;United States;97.9
4;Harvard University;United States;97.8
5;University of Cambridge;United Kingdom;97.5
6;Princeton University;United States;96.9
7;California Institute of Technology;United States;96.5
8;Imperial College London;United Kingdom;95.1
9;University of California, Berkeley;United States;94.6
10;Yale University;United States;94.2
11;ETH Zurich;Switzerland;93.1
12;Tsinghua University;China;92.4
13;The University of Chicago;United States;92.1
14;Peking University;China;91.8
15;Johns Hopkins University;United States;91.1
16;University of Pennsylvania;United States;91.0
17;Columbia University;United States;90.9
18;University of California, Los Angeles;United States;90.1
19;National University of Singapore;Singapore;90.0
20;Cornell University;United States;89.5
21;University of Toronto;Canada;88.6
22;UCL;United Kingdom;88.1
23;University of Michigan-Ann Arbor;United States;87.4
24;Carnegie Mellon University;United States;86.3
25;University of Washington;United States;85.3
26;Duke University;United States;83.9
27;New York University;United States;83.5
28;Northwestern University;United States;83.2
29;The University of Tokyo;Japan;83.1
30;University of Edinburgh;United Kingdom;82.5
31;Technical University of Munich;Germany;82.5
32;Nanyang Technological University, Singapore;Singapore;82.3
33;École Polytechnique Fédérale de Lausanne;Switzerland;81.4
34;University of California, San Diego;United States;81.0
35;University of Hong Kong;Hong Kong;80.3
36;Georgia Institute of Technology;United States;80.0
37;University of Melbourne;Australia;79.2
38;King’s College London;United Kingdom;79.0
39;LMU Munich;Germany;79.0
40;Paris Sciences et Lettres – PSL Research University Paris;France;78.5
41;University of British Columbia;Canada;78.0
42;University of Illinois at Urbana-Champaign;United States;77.9
43;Shanghai Jiao Tong University;China;77.7
44;Fudan University;China;77.5
45;KU Leuven;Belgium;77.0
46;London School of Economics and Political Science;United Kingdom;76.8
47;Universität Heidelberg;Germany;76.7
48;Delft University of Technology;Netherlands;76.3
49;McGill University;Canada;76.0
50;Karolinska Institute;Sweden;75.9
51;University of Manchester;United Kingdom;75.6
52;University of Texas at Austin;United States;75.5
53;The Chinese University of Hong Kong;Hong Kong;75.4
54;Monash University;Australia;75.2
55;Kyoto University;Japan;75.0
56;Zhejiang University;China;75.0
57;University of Science and Technology of China;China;74.8
58;Université Paris-Saclay;France;74.4
59;University of California, Davis;United States;74.1
