rank;university;country;score
1;University of Oxford;United Kingdom;94.3
2;University of Cambridge;United Kingdom;93.2
3;California Institute of Technology;United States;93.0
4;Stanford University;United States;93.0
5;Massachusetts Institute of Technology;United States;92.5
6;Harvard University;United States;91.8
7;Princeton University;United States;91.1
8;Imperial College London;United Kingdom;89.2
9;The University of Chicago;United States;88.6
10;ETH Zurich;Switzerland;87.7
11;University of Pennsylvania;United States;87.7
12;Yale University;United States;87.6
13;Johns Hopkins University;United States;86.5
14;Columbia University;United States;86.0
15;University of California, Los Angeles;United States;85.7
16;UCL;United Kingdom;85.3
17;Duke University;United States;85.1
18;University of California, Berkeley;United States;84.3
19;Cornell University;United States;84.2
20;Northwestern University;United States;83.3
21;University of Michigan-Ann Arbor;United States;83.1
22;National University of Singapore;Singapore;82.8
23;University of Toronto;Canada;82.8
24;Carnegie Mellon University;United States;81.9
25;London School of Economics and Political Science;United Kingdom;79.4
26;University of Washington;United States;79.4
27;University of Edinburgh;United Kingdom;79.2
28;New York University;United States;79.2
29;Peking University;China;79.2
30;Tsinghua University;China;79.0
31;University of California, San Diego;United States;78.7
32;University of Melbourne;Australia;77.5
33;Georgia Institute of Technology;United States;77.0
34;University of British Columbia;Canada;76.2
35;LMU Munich;Germany;76.2
36;King’s College London;United Kingdom;75.6
37;University of Illinois at Urbana-Champaign;United States;75.4
38;École Polytechnique Fédérale de Lausanne;Switzerland;75.3
39;Karolinska Institute;Sweden;75.3
40;University of Hong Kong;Hong Kong;75.1
41;Technical University of Munich;Germany;73.5
42;McGill University;Canada;73.2
43;University of Wisconsin-Madison;United States;73.1
44;The Hong Kong University of Science and Technology;Hong Kong;72.7
45;Universität Heidelberg;Germany;72.3
46;The University of Tokyo;Japan;72.2
47;KU Leuven;Belgium;71.8
48;Australian National University;Australia;71.6
49;University of Texas at Austin;United States;71.4
50;Brown University;United States;70.8
51;Washington University in St Louis;United States;70.8
52;Nanyang Technological University, Singapore;Singapore;70.5
53;University of California, Santa Barbara;United States;70.0
54;University of California, Davis;United States;69.5
55;University of Manchester;United Kingdom;69.5
56;University of Minnesota;United States;69.0
57;University of North Carolina at Chapel Hill;United States;69.0
58;The Chinese University of Hong Kong;Hong Kong;68.5
59;University of Amsterdam;Netherlands;68.4
60;Purdue University West Lafayette;United States;68.2
61;The University of Sydney;Australia;67.8
62;Humboldt University of Berlin;Germany;67.4
63;Delft University of Technology;Netherlands;67.3
64;Wageningen University & Research;Netherlands;67.2
65;The University of Queensland;Australia;67.0
66;University of Southern California;United States;66.8
67;Leiden University;Netherlands;66.0
68;Utrecht University;Netherlands;65.8
69;University of Maryland, College Park;United States;65.7
70;Boston University;United States;65.4
71;Ohio State University (Main campus);United States;65.4
72;Erasmus University Rotterdam;Netherlands;65.2
73;Paris Sciences et Lettres – PSL Research University Paris;France;65.2
74;Kyoto University;Japan;64.9
75;Seoul National University;South Korea;64.9
76;University of Bristol;United Kingdom;64.8
77;Penn State (Main campus);United States;64.6
78;McMaster University;Canada;63.4
79;RWTH Aachen University;Germany;63.3
80;University of Glasgow;United Kingdom;63.2
81;Monash University;Australia;63.2
82;University of Freiburg;Germany;62.9
83;University of Groningen;Netherlands;62.8
84;Michigan State University;United States;62.8
85;UNSW Sydney;Australia;62.5
86;Rice University;United States;62.2
87;Uppsala University;Sweden;62.2
88;Free University of Berlin;Germany;62.1
89;Dartmouth College;United States;62.0
90;University of Helsinki;Finland;61.7
91;University of Warwick;United Kingdom;61.6
92;Technical University of Berlin;Germany;61.5
93;Lund University;Sweden;61.3
94;University of Tübingen;Germany;61.2
95;University of Basel;Switzerland;60.9
96;Korea Advanced Institute of Science and Technology (KAIST);South Korea;60.9
97;Durham University;United Kingdom;60.8
98;Emory University;United States;60.7
99;University of California, Irvine;United States;60.6
100;University of Bonn;Germany;60.5
101;University of Colorado Boulder;United States;60.5
102;University of Pittsburgh-Pittsburgh campus;United States;60.5
103;Maastricht University;Netherlands;60.4
104;University of Sheffield;United Kingdom;60.1
105;University of Bern;Switzerland;60.0
106;Vanderbilt University;United States;60.0
107;Ghent University;Belgium;59.8
108;Université de Montréal;Canada;59.6
109;Aarhus University;Denmark;59.4
110;University of Copenhagen;Denmark;59.4
111;Sungkyunkwan University (SKKU);South Korea;59.3
112;The University of Western Australia;Australia;59.3
113;University of Göttingen;Germany;59.2
114;University of Virginia (Main campus);United States;59.2
115;École Polytechnique – Institut Polytechnique de Paris;France;59.1
116;Fudan University;China;58.9
117;Indiana University;United States;58.7
118;Trinity College Dublin;Ireland;58.7
119;University of Alberta;Canada;58.6
120;City University of Hong Kong;Hong Kong;58.6
121;Queen Mary University of London;United Kingdom;58.5
122;Radboud University Nijmegen;Netherlands;58.4
123;Georgetown University;United States;58.3
124;Pierre and Marie Curie University;France;58.3
125;University of Mannheim;Germany;58.2
126;Arizona State University (Tempe);United States;58.1
127;Charité - Universitätsmedizin Berlin;Germany;58.1
128;University of Southampton;United Kingdom;58.1
129;Université Catholique de Louvain;Belgium;58.0
130;University of Exeter;United Kingdom;57.8
131;University of Geneva;Switzerland;57.8
132;University of Science and Technology of China;China;57.7
133;Karlsruhe Institute of Technology;Germany;57.6
134;University of Adelaide;Australia;57.5
135;Stockholm University;Sweden;57.5
