rank;university;country;score
136;University of Zurich;Switzerland;57.4
137;Pohang University of Science and Technology (POSTECH);South Korea;57.3
138;University of York;United Kingdom;57.3
139;University of Leeds;United Kingdom;57.1
140;Pompeu Fabra University;Spain;56.9
141;University of Birmingham;United Kingdom;56.8
142;Eindhoven University of Technology;Netherlands;56.8
143;University of Florida;United States;56.6
144;University of St Andrews;United Kingdom;56.6
145;University of Cologne;Germany;56.4
146;University of Oslo;Norway;56.3
147;Universitat Autònoma de Barcelona (UAB);Spain;56.2
148;University of Nottingham;United Kingdom;56.2
149;University of Sussex;United Kingdom;56.2
150;Lancaster University;United Kingdom;55.9
151;University of Notre Dame;United States;55.9
152;University of Lausanne;Switzerland;55.7
153;University of Rochester;United States;55.6
154;Technical University of Denmark;Denmark;55.6
155;Sant’Anna School of Advanced Studies – Pisa;Italy;55.5
156;TU Dresden;Germany;55.5
157;Ulm University;Germany;55.5
158;Case Western Reserve University;United States;55.2
159;University of Leicester;United Kingdom;55.0
160;Texas A&M University;United States;55.0
161;University of Arizona;United States;54.9
162;University of California, Santa Cruz;United States;54.8
163;Cardiff University;United Kingdom;54.8
164;University of Erlangen-Nuremberg;Germany;54.8
165;University of Vienna;Austria;54.7
166;Vrije Universiteit Amsterdam;Netherlands;54.7
167;University of Würzburg;Germany;54.7
168;University of Alabama at Birmingham;United States;54.6
169;Nanjing University;China;54.5
170;Tufts University;United States;54.5
171;University of Cape Town;South Africa;54.4
172;Rutgers University–New Brunswick;United States;54.3
173;KTH Royal Institute of Technology;Sweden;54.2
174;University of Münster;Germany;54.2
175;Université Libre de Bruxelles;Belgium;54.0
176;Newcastle University;United Kingdom;54.0
177;University of Liverpool;United Kingdom;53.9
178;Zhejiang University;China;53.9
179;University of Luxembourg;Luxembourg;53.8
180;University of Twente;Netherlands;53.8
181;Paris-Sud University;France;53.7
182;École Normale Supérieure de Lyon;France;53.6
183;The Hong Kong Polytechnic University;Hong Kong;53.6
184;Scuola Normale Superiore di Pisa;Italy;53.4
185;University of Aberdeen;United Kingdom;53.3
186;University of Miami;United States;53.1
187;University of Dundee;United Kingdom;52.9
188;University of East Anglia;United Kingdom;52.8
189;Shanghai Jiao Tong University;China;52.8
190;Aalto University;Finland;52.7
191;University of Massachusetts;United States;52.6
192;University of Auckland;New Zealand;52.5
193;Northeastern University, US;United States;52.4
194;Northeastern University, US;Russian Federation;52.3
195;Tilburg University;Netherlands;52.1
196;Paris-Sorbonne University – Paris 4;France;52.0
197;Royal Holloway, University of London;United Kingdom;51.9
198;University of California, Riverside;United States;51.7
199;University of Gothenburg;Sweden;51.7
200;National Taiwan University (NTU);Taiwan;51.7
201;Aalborg University;Denmark;48.3–51.6
202;University of Antwerp;Belgium;48.3–51.6
203;University of Barcelona;Spain;48.3–51.6
204;University of Bergen;Norway;48.3–51.6
205;University of Bologna;Italy;48.3–51.6
206;Brandeis University;United States;48.3–51.6
207;University of Calgary;Canada;48.3–51.6
208;Chalmers University of Technology;Sweden;48.3–51.6
209;University of Cincinnati – Uptown;United States;48.3–51.6
210;Copenhagen Business School;Denmark;48.3–51.6
211;University of Delaware;United States;48.3–51.6
212;University of Duisburg-Essen;Germany;48.3–51.6
213;Florida State University;United States;48.3–51.6
214;University of Fribourg;Switzerland;48.3–51.6
215;George Washington University;United States;48.3–51.6
216;University of Hamburg;Germany;48.3–51.6
217;University of Hawai’i at Mānoa;United States;48.3–51.6
218;Hebrew University of Jerusalem;Israel;48.3–51.6
219;University of Iceland;Iceland;48.3–51.6
220;University of Iowa;United States;48.3–51.6
221;James Cook University;Australia;48.3–51.6
222;University of Kiel;Germany;48.3–51.6
223;King Abdulaziz University;Saudi Arabia;48.3–51.6
224;University of Konstanz;Germany;48.3–51.6
225;Korea University;South Korea;48.3–51.6
226;University of Galway;Ireland;48.3–51.6
227;The University of Osaka;Japan;48.3–51.6
228;University of Otago;New Zealand;48.3–51.6
229;University of Ottawa;Canada;48.3–51.6
230;Paris Diderot University – Paris 7;France;48.3–51.6
231;University of Passau;Germany;48.3–51.6
232;University of Potsdam;Germany;48.3–51.6
233;Queen’s University Belfast;United Kingdom;48.3–51.6
234;Queensland University of Technology;Australia;48.3–51.6
235;RCSI University of Medicine and Health Sciences;Ireland;48.3–51.6
236;University of Reading;United Kingdom;48.3–51.6
237;Ruhr University Bochum;Germany;48.3–51.6
238;St George’s, University of London;United Kingdom;48.3–51.6
239;University of South Australia;Australia;48.3–51.6
240;University of Stuttgart;Germany;48.3–51.6
241;University of Tampere;Finland;48.3–51.6
242;Technical University of Darmstadt;Germany;48.3–51.6
243;University of Technology Sydney;Australia;48.3–51.6
244;Tel Aviv University;Israel;48.3–51.6
245;University of Texas at Dallas;United States;48.3–51.6
246;Tohoku University;Japan;48.3–51.6
247;Ulsan National Institute of Science and Technology (UNIST);South Korea;48.3–51.6
248;University College Dublin;Ireland;48.3–51.6
249;University of Utah;United States;48.3–51.6
250;Vita-Salute San Raffaele University;Italy;48.3–51.6
251;University of Waterloo;Canada;48.3–51.6
252;Western University;Canada;48.3–51.6
253;Yonsei University (Seoul campus);South Korea;48.3–51.6
254;Aix-Marseille University;France;45.2–48.2
255;University of Bath;United Kingdom;45.2–48.2
256;University of Bayreuth;Germany;45.2–48.2
257;Bielefeld University;Germany;45.2–48.2
258;University of Bremen;Germany;45.2–48.2
259;University at Buffalo;United States;45.2–48.2
260;Clark University;United States;45.2–48.2
261;University of Colorado Denver/Anschutz Medical Campus;United States;45.2–48.2
262;Colorado School of Mines;United States;45.2–48.2
263;Dalhousie University;Canada;45.2–48.2
264;École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris;France;45.2–48.2
265;University of Essex;United Kingdom;45.2–48.2
266;Goethe University Frankfurt;Germany;45.2–48.2
267;Griffith University;Australia;45.2–48.2
268;University of Hohenheim;Germany;45.2–48.2
269;University of Illinois Chicago;United States;45.2–48.2
270;Indian Institute of Science;India;45.2–48.2
271;University of Innsbruck;Austria;45.2–48.2
272;Johannes Gutenberg University of Mainz;Germany;45.2–48.2
273;Université Laval;Canada;45.2–48.2
274;Macquarie University;Australia;45.2–48.2
275;University of Marburg;Germany;45.2–48.2
276;Medical University of Vienna;Austria;45.2–48.2
277;Medical University of Vienna;Russian Federation;45.2–48.2
278;University of Newcastle;Australia;45.2–48.2
279;North Carolina State University;United States;45.2–48.2
280;Norwegian University of Science and Technology;Norway;45.2–48.2
281;University of Oregon;United States;45.2–48.2
282;Oregon Health and Science University;United States;45.2–48.2
283;University of Oulu;Finland;45.2–48.2
284;Queen’s University;Canada;45.2–48.2
285;University of São Paulo;Brazil;45.2–48.2
286;Simon Fraser University;Canada;45.2–48.2
287;University of Southern Denmark;Denmark;45.2–48.2
288;University of South Florida (Tampa);United States;45.2–48.2
289;Stony Brook University;United States;45.2–48.2
290;University of Surrey;United Kingdom;45.2–48.2
291;Swansea University;United Kingdom;45.2–48.2
292;Swedish University of Agricultural Sciences;Sweden;45.2–48.2
293;Syracuse University;United States;45.2–48.2
294;Tokyo Institute of Technology;Japan;45.2–48.2
295;University of Trento;Italy;45.2–48.2
296;Umeå University;Sweden;45.2–48.2
297;Wake Forest University;United States;45.2–48.2
298;William & Mary;United States;45.2–48.2
299;University of the Witwatersrand;South Africa;45.2–48.2
300;University of Wollongong;Australia;45.2–48.2
301;Aberystwyth University;United Kingdom;42.4–45.1
302;University of Alaska Fairbanks;United States;42.4–45.1
303;Anglia Ruskin University (ARU);United Kingdom;42.4–45.1
304;Babol Noshirvani University of Technology;Iran;42.4–45.1
305;Bangor University;United Kingdom;42.4–45.1
306;Birkbeck, University of London;United Kingdom;42.4–45.1
307;University of Bordeaux;France;42.4–45.1
308;Boston College;United States;42.4–45.1
309;Brighton and Sussex Medical School;United Kingdom;42.4–45.1
310;Charles Darwin University;Australia;42.4–45.1
311;University of Connecticut;United States;42.4–45.1
312;Deakin University;Australia;42.4–45.1
313;University of Denver;United States;42.4–45.1
314;University of Eastern Finland;Finland;42.4–45.1
315;Flinders University;Australia;42.4–45.1
316;Free University of Bozen-Bolzano;Italy;42.4–45.1
317;George Mason University;United States;42.4–45.1
318;Goldsmiths, University of London;United Kingdom;42.4–45.1
319;Grenoble Alpes University;France;42.4–45.1
320;University of Houston;United States;42.4–45.1
321;Iowa State University;United States;42.4–45.1
322;University of Kent;United Kingdom;42.4–45.1
323;Khalifa University;United Arab Emirates;42.4–45.1
324;Koç University;Turkey;42.4–45.1
325;University of Liège;Belgium;42.4–45.1
326;Loughborough University;United Kingdom;42.4–45.1
327;Medical University of Graz;Austria;42.4–45.1
328;University of Milan;Italy;42.4–45.1
329;Nagoya University;Japan;42.4–45.1
330;National Tsing Hua University;Taiwan;42.4–45.1
331;University of Navarra;Spain;42.4–45.1
332;University of Nebraska-Lincoln;United States;42.4–45.1
333;Oregon State University;United States;42.4–45.1
334;Politecnico di Milano;Italy;42.4–45.1
335;Rensselaer Polytechnic Institute;United States;42.4–45.1
336;Rush University;United States;42.4–45.1
337;Sapienza University of Rome;Italy;42.4–45.1
338;University of Stirling;United Kingdom;42.4–45.1
339;University of Tartu;Estonia;42.4–45.1
340;University of Tasmania;Australia;42.4–45.1
341;Technion Israel Institute of Technology;Israel;42.4–45.1
342;The University of Tennessee-Knoxville;United States;42.4–45.1
343;The University of Tennessee-Knoxville;Russian Federation;42.4–45.1
344;TU Dortmund University;Germany;42.4–45.1
345;TU Wien;Austria;42.4–45.1
346;Victoria University;Australia;42.4–45.1
347;University of Victoria;Canada;42.4–45.1
348;Virginia Polytechnic Institute and State University;United States;42.4–45.1
349;Vrije Universiteit Brussel;Belgium;42.4–45.1
350;Washington State University;United States;42.4–45.1
351;The University of Alabama;United States;40.0–42.3
352;American University;United States;40.0–42.3
353;Aston University;United Kingdom;40.0–42.3
354;Autonomous University of Madrid;Spain;40.0–42.3
355;Brunel University of London;United Kingdom;40.0–42.3
356;University of Canberra;Australia;40.0–42.3
357;University of Canterbury;New Zealand;40.0–42.3
358;City, University of London;United Kingdom;40.0–42.3
359;Colorado State University, Fort Collins;United States;40.0–42.3
360;Université Côte d'Azur;France;40.0–42.3
361;University of Crete;Greece;40.0–42.3
362;Curtin University;Australia;40.0–42.3
363;Cyprus University of Technology;Cyprus;40.0–42.3
364;Drexel University;United States;40.0–42.3
365;University of Toulouse;France;40.0–42.3
366;University of Georgia (USA);United States;40.0–42.3
367;Georgia State University;United States;40.0–42.3
368;Gwangju Institute of Science and Technology (GIST);South Korea;40.0–42.3
369;Hanyang University;South Korea;40.0–42.3
370;Heriot-Watt University;United Kingdom;40.0–42.3
371;Heriot-Watt University;Russian Federation;40.0–42.3
372;Indian Institute of Technology Bombay;India;40.0–42.3
373;Justus Liebig University Giessen;Germany;40.0–42.3
374;University of Kansas;United States;40.0–42.3
375;Kyushu University;Japan;40.0–42.3
376;La Trobe University;Australia;40.0–42.3
377;Leibniz University Hannover;Germany;40.0–42.3
378;Linköping University;Sweden;40.0–42.3
379;University of Macau;Macao;40.0–42.3
380;University of Malaya;Malaysia;40.0–42.3
381;Montpellier University;France;40.0–42.3
382;Örebro University;Sweden;40.0–42.3
383;University of Padua;Italy;40.0–42.3
384;University of Pavia;Italy;40.0–42.3
385;University of Pisa;Italy;40.0–42.3
386;Royal Veterinary College;United Kingdom;40.0–42.3
387;Sabancı University;Turkey;40.0–42.3
388;University of Salerno;Italy;40.0–42.3
389;University of South Carolina-Columbia;United States;40.0–42.3
390;Stellenbosch University;South Africa;40.0–42.3
391;University of Strasbourg;France;40.0–42.3
392;Sun Yat-sen University;China;40.0–42.3
393;Temple University;United States;40.0–42.3
394;University of Trieste;Italy;40.0–42.3
395;Tulane University;United States;40.0–42.3
396;University of Turku;Finland;40.0–42.3
397;University College Cork;Ireland;40.0–42.3
398;University of Vermont;United States;40.0–42.3
399;Université de Versailles Saint-Quentin-en-Yvelines;France;40.0–42.3
400;University of Waikato;New Zealand;40.0–42.3
401;Wayne State University;United States;40.0–42.3
402;York University;Canada;40.0–42.3
403;Auckland University of Technology;New Zealand;35.0–39.9
404;University of Bari Aldo Moro;Italy;35.0–39.9
405;Bar-Ilan University;Israel;35.0–39.9
406;University of Bergamo;Italy;35.0–39.9
407;Bilkent University;Turkey;35.0–39.9
408;Boğaziçi University;Turkey;35.0–39.9
409;University of Brescia;Italy;35.0–39.9
410;University of Calabria;Italy;35.0–39.9
411;University of Campinas;Brazil;35.0–39.9
412;CentraleSupélec;France;35.0–39.9
413;Charles University;Czechia;35.0–39.9
414;Chung-Ang University;South Korea;35.0–39.9
415;Claude Bernard University Lyon 1;France;35.0–39.9
416;University of Cyprus;Cyprus;35.0–39.9
417;Dublin City University;Ireland;35.0–39.9
418;University of Florence;Italy;35.0–39.9
419;Florida International University;United States;35.0–39.9
420;University of Genoa;Italy;35.0–39.9
421;University of Graz;Austria;35.0–39.9
422;Graz University of Technology;Austria;35.0–39.9
423;University of Greifswald;Germany;35.0–39.9
424;Hamburg University of Technology;Germany;35.0–39.9
425;Hasselt University;Belgium;35.0–39.9
426;Hofstra University;United States;35.0–39.9
427;Hokkaido University;Japan;35.0–39.9
428;Hong Kong Baptist University;Hong Kong;35.0–39.9
429;Huazhong University of Science and Technology;China;35.0–39.9
430;University of Hull;United Kingdom;35.0–39.9
431;Jordan University of Science and Technology;Jordan;35.0–39.9
432;University of Jyväskylä;Finland;35.0–39.9
433;University of Kaiserslautern;Germany;35.0–39.9
434;University of Kaiserslautern;Russian Federation;35.0–39.9
435;University of KwaZulu-Natal;South Africa;35.0–39.9
436;Kyung Hee University;South Korea;35.0–39.9
437;University of Lille;France;35.0–39.9
438;Louisiana State University;United States;35.0–39.9
439;Makerere University;Uganda;35.0–39.9
440;University of Manitoba;Canada;35.0–39.9
441;Marche Polytechnic University;Italy;35.0–39.9
442;University of Maryland, Baltimore County;United States;35.0–39.9
443;Massey University;New Zealand;35.0–39.9
444;Maynooth University;Ireland;35.0–39.9
445;Middlesex University;United Kingdom;35.0–39.9
446;University of Milan-Bicocca;Italy;35.0–39.9
447;Mizzou - University of Missouri;United States;35.0–39.9
448;University of Modena and Reggio Emilia;Italy;35.0–39.9
449;University of Montana;United States;35.0–39.9
450;Murdoch University;Australia;35.0–39.9
451;University of Naples Federico II;Italy;35.0–39.9 
452;National Chiao Tung University;Taiwan;35.0–39.9
453;National Chiao Tung University;Russian Federation;35.0–39.9
454;National Taiwan University of Science and Technology (Taiwan Tech);Taiwan;35.0–39.9
455;University of Nebraska Medical Center;United States;35.0–39.9
456;University of Neuchâtel;Switzerland;35.0–39.9
457;Northern Arizona University;United States;35.0–39.9
458;Norwegian University of Life Sciences;Norway;35.0–39.9
459;Norwegian University of Life Sciences;Russian Federation;35.0–39.9
460;University of Oklahoma;United States;35.0–39.9
461;The Open University;United Kingdom;35.0–39.9
462;Oxford Brookes University;United Kingdom;35.0–39.9
463;University of Parma;Italy;35.0–39.9
464;University of Plymouth;United Kingdom;35.0–39.9
465;Universitat Politècnica de Catalunya;Spain;35.0–39.9
466;Polytechnic University of Turin;Italy;35.0–39.9
467;Qatar University;Qatar;35.0–39.9
468;Quaid-i-Azam University;Pakistan;35.0–39.9
469;Reykjavík University;Iceland;35.0–39.9
470;RMIT University;Australia;35.0–39.9
471;University of Rome II – Tor Vergata;Italy;35.0–39.9
472;University of Rome III;Italy;35.0–39.9
473;Roskilde University;Denmark;35.0–39.9
474;Rovira i Virgili University;Spain;35.0–39.9
475;University of St Gallen;Switzerland;35.0–39.9
476;Saint Louis University;United States;35.0–39.9
477;Saint Louis University;Russian Federation;35.0–39.9
478;San Diego State University;United States;35.0–39.9
479;University of Saskatchewan;Canada;35.0–39.9
480;Sciences Po;France;35.0–39.9
481;Semmelweis University;Hungary;35.0–39.9
482;University of Siegen;Germany;35.0–39.9
483;University of Siena;Italy;35.0–39.9
484;SOAS University of London;United Kingdom;35.0–39.9
485;Southern Cross University;Australia;35.0–39.9
486;University of Strathclyde;United Kingdom;35.0–39.9
487;SUNY Binghamton University;United States;35.0–39.9
488;Swinburne University of Technology;Australia;35.0–39.9
489;The University of Texas at San Antonio;United States;35.0–39.9
490;Tokyo Medical and Dental University (TMDU);Japan;35.0–39.9
491;Tongji University;China;35.0–39.9
492;University of Tsukuba;Japan;35.0–39.9
493;The University of Tulsa;United States;35.0–39.9
494;University of Turin;Italy;35.0–39.9
495;UiT The Arctic University of Norway;Norway;35.0–39.9
496;University of Urbino Carlo Bo;Italy;35.0–39.9
497;Verona University;Italy;35.0–39.9
498;Victoria University of Wellington;New Zealand;35.0–39.9
499;Western Sydney University;Australia;35.0–39.9
500;University of Wisconsin-Milwaukee;United States;35.0–39.9
501;Wuhan University;China;35.0–39.9
502;Xiamen University;China;35.0–39.9
503;Alfaisal University;Saudi Arabia;30.7–34.9
504;American University of Beirut;Lebanon;30.7–34.9
505;Aristotle University of Thessaloniki;Greece;30.7–34.9
506;University of Arkansas;United States;30.7–34.9
507;Athens University of Economics and Business;Greece;30.7–34.9
508;Australian Catholic University;Australia;30.7–34.9
509;University of Aveiro;Portugal;30.7–34.9
510;Blaise Pascal University;France;30.7–34.9
511;Bond University;Australia;30.7–34.9
512;Université Bourgogne Franche-Comté (UBFC);France;30.7–34.9
513;Ca’ Foscari University of Venice;Italy;30.7–34.9
514;Carleton University;Canada;30.7–34.9
515;University of Catania;Italy;30.7–34.9
516;Università Cattolica del Sacro Cuore;Italy;30.7–34.9
517;Central China Normal University;China;30.7–34.9
518;Central Queensland University;Australia;30.7–34.9
519;China Medical University, Taiwan;Taiwan;30.7–34.9
520;University of Coimbra;Portugal;30.7–34.9
521;Complutense University of Madrid;Spain;30.7–34.9
522;Concordia University;Canada;30.7–34.9
523;Creighton University;United States;30.7–34.9
524;Diego Portales University;Chile;30.7–34.9
525;East China Normal University;China;30.7–34.9
526;Edith Cowan University;Australia;30.7–34.9
527;Ewha Womans University;South Korea;30.7–34.9
528;Universidade Federal de São Paulo (UNIFESP);Brazil;30.7–34.9
529;Federico Santa María Technical University;Chile;30.7–34.9
530;University of Ferrara;Italy;30.7–34.9
531;Fujita Health University;Japan;30.7–34.9
532;University of Granada;Spain;30.7–34.9
533;Harbin Institute of Technology;China;30.7–34.9
534;University of Hertfordshire;United Kingdom;30.7–34.9
535;Indian Institute of Technology Delhi;India;30.7–34.9
536;Indian Institute of Technology Kanpur;India;30.7–34.9
537;Indian Institute of Technology Kharagpur;India;30.7–34.9
538;Indian Institute of Technology Roorkee;India;30.7–34.9
539;University of Ioannina;Greece;30.7–34.9
540;University of Ioannina;Russian Federation;30.7–34.9
541;Johannes Kepler University of Linz;Austria;30.7–34.9
542;Keele University;United Kingdom;30.7–34.9
543;Kent State University;United States;30.7–34.9
544;King Fahd University of Petroleum and Minerals;Saudi Arabia;30.7–34.9
545;King Saud University;Saudi Arabia;30.7–34.9
546;Konkuk University;South Korea;30.7–34.9
547;LUT University;Finland;30.7–34.9
548;Lehigh University;United States;30.7–34.9
549;University of Limerick;Ireland;30.7–34.9
550;Lincoln University (New Zealand);New Zealand;30.7–34.9
551;University of Lisbon;Portugal;30.7–34.9
552;Liverpool John Moores University;United Kingdom;30.7–34.9
553;University of Lorraine;France;30.7–34.9
554;Mahidol University;Thailand;30.7–34.9
555;Masaryk University;Czechia;30.7–34.9
556;Memorial University of Newfoundland;Canada;30.7–34.9
557;Missouri University of Science and Technology;United States;30.7–34.9
558;Montana State University;United States;30.7–34.9
559;Nantes Université;France;30.7–34.9
560;National and Kapodistrian University of Athens;Greece;30.7–34.9
561;National Cheng Kung University (NCKU);Taiwan;30.7–34.9
562;National Taiwan Normal University;Taiwan;30.7–34.9
563;New Jersey Institute of Technology;United States;30.7–34.9
564;Northumbria University;United Kingdom;30.7–34.9
565;NOVA University of Lisbon;Portugal;30.7–34.9
566;Oklahoma State University;United States;30.7–34.9
567;University of Palermo;Italy;30.7–34.9
568;Panthéon-Sorbonne University – Paris 1;France;30.7–34.9
569;Polytechnic University of Valencia;Spain;30.7–34.9
570;Pontificia Universidad Católica de Chile;Chile;30.7–34.9
571;Pontificia Universidad Javeriana;Colombia;30.7–34.9
572;University of Porto;Portugal;30.7–34.9
573;University of Portsmouth;United Kingdom;30.7–34.9
574;Université du Québec;Canada;30.7–34.9
575;Renmin University of China;China;30.7–34.9
576;University of Salento;Italy;30.7–34.9
577;University of Sassari;Italy;30.7–34.9
578;Sejong University;South Korea;30.7–34.9
579;Shandong University;China;30.7–34.9
580;Université de Sherbrooke;Canada;30.7–34.9
581;Soochow University, China;China;30.7–34.9
582;South China University of Technology;China;30.7–34.9
583;University of South Dakota;United States;30.7–34.9
584;Southeast University;China;30.7–34.9
585;University of Split;Croatia;30.7–34.9
586;Stevens Institute of Technology;United States;30.7–34.9
587;University of the Sunshine Coast;Australia;30.7–34.9
588;Tampere University of Technology;Finland;30.7–34.9
589;University of Texas at Arlington;United States;30.7–34.9
590;Texas Tech University;United States;30.7–34.9
591;Tianjin University;China;30.7–34.9
592;Tokyo Metropolitan University;Japan;30.7–34.9
593;University of Toledo;United States;30.7–34.9
594;University of Toledo;Russian Federation;30.7–34.9
595;Universiti Tunku Abdul Rahman (UTAR);Malaysia;30.7–34.9
596;University of Ulsan;South Korea;30.7–34.9
597;Ulster University;United Kingdom;30.7–34.9
598;United Arab Emirates University;United Arab Emirates;30.7–34.9
599;University of Valencia;Spain;30.7–34.9
600;University of Warsaw;Poland;30.7–34.9
601;University of the West of Scotland;United Kingdom;30.7–34.9
602;Xi’an Jiaotong University;China;30.7–34.9
603;University of the Aegean;Greece;21.5–30.6
604;AGH University of Krakow;Poland;21.5–30.6
605;The University of Aizu;Japan;21.5–30.6
606;University of Alcalá;Spain;21.5–30.6
607;University of Algarve;Portugal;21.5–30.6
608;Aligarh Muslim University;India;21.5–30.6
609;American University in Cairo;Egypt;21.5–30.6
610;American University of Sharjah;United Arab Emirates;21.5–30.6
611;Amirkabir University of Technology;Iran;21.5–30.6
612;University of the Andes, Colombia;Colombia;21.5–30.6
613;Atılım University;Turkey;21.5–30.6
614;Auburn University;United States;21.5–30.6
615;Babeş-Bolyai University;Romania;21.5–30.6
616;Banaras Hindu University;India;21.5–30.6
617;University of the Basque Country;Spain;21.5–30.6
618;Baylor University;United States;21.5–30.6
619;University of Bedfordshire;United Kingdom;21.5–30.6
620;Beihang University;China;21.5–30.6
621;Beijing Institute of Technology;China;21.5–30.6
622;University of Beira Interior;Portugal;21.5–30.6
623;Ben-Gurion University of the Negev;Israel;21.5–30.6
624;Beni-Suef University;Egypt;21.5–30.6
