rank;university;country;score
1;University of Oxford;United Kingdom;96.0
2;University of Cambridge;United Kingdom;94.8
3;Stanford University;United States;94.7
4;Massachusetts Institute of Technology;United States;94.2
5;California Institute of Technology;United States;94.1
6;Harvard University;United States;93.6
7;Princeton University;United States;92.3
8;Yale University;United States;91.3
9;Imperial College London;United Kingdom;90.3
10;The University of Chicago;United States;90.2
11;ETH Zurich;Switzerland;89.3
12;Johns Hopkins University;United States;89.0
13;University of Pennsylvania;United States;89.0
14;UCL;United Kingdom;87.8
15;University of California, Berkeley;United States;87.7
16;Columbia University;United States;87.2
17;University of California, Los Angeles;United States;86.4
18;Duke University;United States;85.4
19;Cornell University;United States;85.1
20;University of Michigan-Ann Arbor;United States;84.1
21;University of Toronto;Canada;84.0
22;Tsinghua University;China;82.9
23;National University of Singapore;Singapore;82.4
24;Carnegie Mellon University;United States;82.0
25;Northwestern University;United States;81.7
26;London School of Economics and Political Science;United Kingdom;81.3
27;New York University;United States;81.0
28;University of Washington;United States;80.4
29;University of Edinburgh;United Kingdom;79.8
30;University of California, San Diego;United States;79.7
31;Peking University;China;79.3
32;LMU Munich;Germany;78.3
33;University of Melbourne;Australia;78.3
34;Georgia Institute of Technology;United States;77.5
35;École Polytechnique Fédérale de Lausanne;Switzerland;76.9
36;University of Hong Kong;Hong Kong;76.3
37;University of British Columbia;Canada;76.0
38;King’s College London;United Kingdom;75.8
39;University of Texas at Austin;United States;75.4
40;Karolinska Institute;Sweden;74.9
41;The Hong Kong University of Science and Technology;Hong Kong;74.5
42;Paris Sciences et Lettres – PSL Research University Paris;France;74.4
43;The University of Tokyo;Japan;74.1
44;University of Wisconsin-Madison;United States;73.9
45;McGill University;Canada;73.7
46;Technical University of Munich;Germany;73.7
47;Universität Heidelberg;Germany;73.2
48;KU Leuven;Belgium;72.6
49;Australian National University;Australia;72.4
50;University of Illinois at Urbana-Champaign;United States;72.3
51;Nanyang Technological University, Singapore;Singapore;72.2
52;University of California, Santa Barbara;United States;71.5
53;Brown University;United States;71.4
54;The Chinese University of Hong Kong;Hong Kong;71.4
55;Washington University in St Louis;United States;70.9
56;University of North Carolina at Chapel Hill;United States;70.0
57;University of Manchester;United Kingdom;69.9
58;Delft University of Technology;Netherlands;69.2
59;University of California, Davis;United States;68.5
60;The University of Sydney;Australia;68.5
61;Wageningen University & Research;Netherlands;68.5
62;University of Amsterdam;Netherlands;67.9
63;Seoul National University;South Korea;67.5
64;Purdue University West Lafayette;United States;67.4
65;Kyoto University;Japan;67.3
66;University of Southern California;United States;67.0
67;Humboldt University of Berlin;Germany;66.9
68;Leiden University;Netherlands;66.3
69;The University of Queensland;Australia;66.0
70;Erasmus University Rotterdam;Netherlands;65.8
