rank;university;country;score
71;University of Minnesota;United States;65.3
72;Ohio State University (Main campus);United States;65.3
73;Sorbonne University;France;65.1
74;Boston University;United States;65.0
75;Utrecht University;Netherlands;65.0
76;University of Freiburg;Germany;64.7
77;McMaster University;Canada;64.4
78;University of Bristol;United Kingdom;64.3
79;University of Groningen;Netherlands;64.1
80;University of Warwick;United Kingdom;64.1
81;Penn State (Main campus);United States;63.8
82;University of Maryland, College Park;United States;63.7
83;Sungkyunkwan University (SKKU);South Korea;63.7
84;Emory University;United States;63.6
85;Monash University;Australia;63.6
86;Rice University;United States;63.5
87;RWTH Aachen University;Germany;63.3
88;Uppsala University;Sweden;63.3
89;University of Tübingen;Germany;63.2
90;Charité - Universitätsmedizin Berlin;Germany;63.0
91;Université de Montréal;Canada;63.0
92;University of Zurich;Switzerland;63.0
93;University of Science and Technology of China;China;62.9
94;University of Glasgow;United Kingdom;62.8
95;Michigan State University;United States;62.8
96;University of California, Irvine;United States;62.7
97;UNSW Sydney;Australia;62.7
98;Lund University;Sweden;62.5
99;Dartmouth College;United States;62.4
100;University of Helsinki;Finland;62.4
101;Zhejiang University;China;62.2
102;Korea Advanced Institute of Science and Technology (KAIST);South Korea;61.8
103;University of Basel;Switzerland;61.5
104;Free University of Berlin;Germany;61.4
105;Fudan University;China;61.4
106;University of Sheffield;United Kingdom;61.2
107;University of Virginia (Main campus);United States;61.0
108;École Polytechnique – Institut Polytechnique de Paris;France;60.8
109;Georgetown University;United States;60.7
110;University of Bern;Switzerland;60.3
111;University of Bonn;Germany;60.3
112;City University of Hong Kong;Hong Kong;60.3
113;University of Pittsburgh-Pittsburgh campus;United States;60.3
114;University of Colorado Boulder;United States;59.9
115;Durham University;United Kingdom;59.9
116;University of Birmingham;United Kingdom;59.7
117;University of Copenhagen;Denmark;59.7
118;University of Southampton;United Kingdom;59.6
119;University of York;United Kingdom;59.3
120;Trinity College Dublin;Ireland;59.2
121;University of Oslo;Norway;59.1
122;Vanderbilt University;United States;59.1
123;Aarhus University;Denmark;59.0
124;Arizona State University (Tempe);United States;59.0
125;University of Göttingen;Germany;59.0
126;University of Mannheim;Germany;59.0
127;Radboud University Nijmegen;Netherlands;59.0
128;Université Catholique de Louvain;Belgium;58.9
129;Maastricht University;Netherlands;58.9
130;Queen Mary University of London;United Kingdom;58.8
131;Technical University of Berlin;Germany;58.7
132;University of Alberta;Canada;58.5
133;Case Western Reserve University;United States;58.5
134;Nanjing University;China;58.4
135;The University of Western Australia;Australia;58.4
136;University of Adelaide;Australia;58.3
137;University of Geneva;Switzerland;58.3
138;University of Hamburg;Germany;58.3
139;Karlsruhe Institute of Technology;Germany;58.3
140;Pompeu Fabra University;Spain;58.3
141;University of Exeter;United Kingdom;57.8
142;Pohang University of Science and Technology (POSTECH);South Korea;57.7
143;Ghent University;Belgium;57.6
144;University of Vienna;Austria;57.6
145;Universitat Autònoma de Barcelona (UAB);Spain;57.5
146;University of Cologne;Germany;57.3
147;Indiana University;United States;57.3
148;Lancaster University;United Kingdom;57.3
149;University of Nottingham;United Kingdom;57.2
150;Ulm University;Germany;57.2
151;TU Dresden;Germany;57.0
152;Tufts University;United States;56.8
153;University of Leeds;United Kingdom;56.6
154;Sant’Anna School of Advanced Studies – Pisa;Italy;56.6
155;Stockholm University;Sweden;56.6
156;University of Cape Town;South Africa;56.5
157;University of Florida;United States;56.5
158;University of Aberdeen;United Kingdom;56.3
159;University of Arizona;United States;56.2
160;The Hong Kong Polytechnic University;Hong Kong;56.2
161;University of Würzburg;Germany;56.2
162;Scuola Normale Superiore di Pisa;Italy;56.0
163;University of Sussex;United Kingdom;56.0
164;University of Rochester;United States;55.9
165;Technical University of Denmark;Denmark;55.9
166;University of St Andrews;United Kingdom;55.8
167;Vrije Universiteit Amsterdam;Netherlands;55.7
168;University of California, Santa Cruz;United States;55.6
169;Eindhoven University of Technology;Netherlands;55.6
170;University of Leicester;United Kingdom;55.6
171;National Taiwan University (NTU);Taiwan;55.5
172;Newcastle University;United Kingdom;55.4
173;Texas A&M University;United States;55.4
174;University of Notre Dame;United States;55.3
175;University of Erlangen-Nuremberg;Germany;55.2
176;University of Lausanne;Switzerland;54.9
177;University of Ottawa;Canada;54.9
178;Rutgers University–New Brunswick;United States;54.9
179;University of Alabama at Birmingham;United States;54.8
180;University of Bologna;Italy;54.7
181;Aalto University;Finland;54.5
182;George Washington University;United States;54.5
183;University of Liverpool;United Kingdom;54.5
184;University of Münster;Germany;54.4
185;Northeastern University, US;United States;54.4
186;University of Twente;Netherlands;54.4
187;Cardiff University;United Kingdom;54.2
188;KTH Royal Institute of Technology;Sweden;54.2
189;University of Konstanz;Germany;54.1
190;Shanghai Jiao Tong University;China;54.1
191;University of Duisburg-Essen;Germany;54.0
192;University of East Anglia;United Kingdom;54.0
193;Western University;Canada;54.0
194;Aalborg University;Denmark;53.9
195;Paris Diderot University – Paris 7;France;53.9
196;University of Technology Sydney;Australia;53.6
197;University of Bergen;Norway;53.3
198;Korea University;South Korea;53.2
199;University of Calgary;Canada;53.1
200;University of Calgary;Russian Federation;53.1
201;University of Antwerp;Belgium;49.5–53.0
202;University of Auckland;New Zealand;49.5–53.0
203;University of Barcelona;Spain;49.5–53.0
204;University of Bath;United Kingdom;49.5–53.0
205;Bielefeld University;Germany;49.5–53.0
206;Brandeis University;United States;49.5–53.0
207;University at Buffalo;United States;49.5–53.0
208;University of California, Riverside;United States;49.5–53.0
209;Chalmers University of Technology;Sweden;49.5–53.0
210;Copenhagen Business School;Denmark;49.5–53.0
211;University of Dundee;United Kingdom;49.5–53.0
212;École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris;France;49.5–53.0
213;École Normale Supérieure de Lyon;France;49.5–53.0
214;University of Fribourg;Switzerland;49.5–53.0
215;University of Gothenburg;Sweden;49.5–53.0
216;University of Hawai’i at Mānoa;United States;49.5–53.0
217;Hebrew University of Jerusalem;Israel;49.5–53.0
218;University of Hohenheim;Germany;49.5–53.0
219;University of Iowa;United States;49.5–53.0
220;James Cook University;Australia;49.5–53.0
221;University of Kiel;Germany;49.5–53.0
222;King Abdulaziz University;Saudi Arabia;49.5–53.0
223;Université Libre de Bruxelles;Belgium;49.5–53.0
224;University of Luxembourg;Luxembourg;49.5–53.0
225;Macquarie University;Australia;49.5–53.0
226;University of Massachusetts;United States;49.5–53.0
227;Medical University of Graz;Austria;49.5–53.0
228;Medical University of Vienna;Austria;49.5–53.0
229;University of Miami;United States;49.5–53.0
230;University of Otago;New Zealand;49.5–53.0
231;University of Padua;Italy;49.5–53.0
232;Paris-Sud University;France;49.5–53.0
233;University of Passau;Germany;49.5–53.0
234;University of Potsdam;Germany;49.5–53.0
235;Queen’s University Belfast;United Kingdom;49.5–53.0
236;Queensland University of Technology;Australia;49.5–53.0
237;RCSI University of Medicine and Health Sciences;Ireland;49.5–53.0
238;University of Reading;United Kingdom;49.5–53.0
239;University of South Australia;Australia;49.5–53.0
240;University of Tampere;Finland;49.5–53.0
241;Tel Aviv University;Israel;49.5–53.0
242;Tilburg University;Netherlands;49.5–53.0
243;Ulsan National Institute of Science and Technology (UNIST);South Korea;49.5–53.0
244;University College Dublin;Ireland;49.5–53.0
245;University of Utah;United States;49.5–53.0
246;Vita-Salute San Raffaele University;Italy;49.5–53.0
247;University of Waterloo;Canada;49.5–53.0
248;William & Mary;United States;49.5–53.0
249;University of the Witwatersrand;South Africa;49.5–53.0
250;University of Wollongong;Australia;49.5–53.0
251;Yonsei University (Seoul campus);South Korea;49.5–53.0
252;Brighton and Sussex Medical School;United Kingdom;46.4–49.4
253;University of Canberra;Australia;46.4–49.4
254;University of Cincinnati – Uptown;United States;46.4–49.4
255;Clark University;United States;46.4–49.4
256;Colorado School of Mines;United States;46.4–49.4
257;Dalhousie University;Canada;46.4–49.4
258;University of Delaware;United States;46.4–49.4
259;University of Essex;United Kingdom;46.4–49.4
260;Flinders University;Australia;46.4–49.4
261;Florida State University;United States;46.4–49.4
262;Goethe University Frankfurt;Germany;46.4–49.4
263;Griffith University;Australia;46.4–49.4
264;University of Iceland;Iceland;46.4–49.4
265;University of Illinois Chicago;United States;46.4–49.4
266;Indian Institute of Science;India;46.4–49.4
267;Constructor University;Germany;46.4–49.4
268;Johannes Gutenberg University of Mainz;Germany;46.4–49.4
269;Université Laval;Canada;46.4–49.4
270;University of Marburg;Germany;46.4–49.4
271;University of Marburg;Russian Federation;46.4–49.4
272;University of Navarra;Spain;46.4–49.4
273;North Carolina State University;United States;46.4–49.4
274;Oregon Health and Science University;United States;46.4–49.4
275;The University of Osaka;Japan;46.4–49.4
276;University of Oulu;Finland;46.4–49.4
277;Queen’s University;Canada;46.4–49.4
278;Royal Holloway, University of London;United Kingdom;46.4–49.4
279;Ruhr University Bochum;Germany;46.4–49.4
280;St George’s, University of London;United Kingdom;46.4–49.4
281;University of São Paulo;Brazil;46.4–49.4
282;Sapienza University of Rome;Italy;46.4–49.4
283;Simon Fraser University;Canada;46.4–49.4
284;University of Southern Denmark;Denmark;46.4–49.4
285;University of South Florida (Tampa);United States;46.4–49.4
286;Stony Brook University;United States;46.4–49.4
287;University of Stuttgart;Germany;46.4–49.4
288;University of Surrey;United Kingdom;46.4–49.4
289;Swansea University;United Kingdom;46.4–49.4
290;Swedish University of Agricultural Sciences;Sweden;46.4–49.4
291;Syracuse University;United States;46.4–49.4
292;Technical University of Darmstadt;Germany;46.4–49.4
293;University of Texas at Dallas;United States;46.4–49.4
294;Tohoku University;Japan;46.4–49.4
295;Tokyo Institute of Technology;Japan;46.4–49.4
296;University of Trento;Italy;46.4–49.4
297;TU Wien;Austria;46.4–49.4
298;Virginia Polytechnic Institute and State University;United States;46.4–49.4
299;Vrije Universiteit Brussel;Belgium;46.4–49.4
300;Wake Forest University;United States;46.4–49.4
301;Aix-Marseille University;France;44.0–46.3
302;University of Alaska Fairbanks;United States;44.0–46.3
303;Alfaisal University;Saudi Arabia;44.0–46.3
304;American University;United States;44.0–46.3
305;Anglia Ruskin University (ARU);United Kingdom;44.0–46.3
306;Auckland University of Technology;New Zealand;44.0–46.3
307;University of Bayreuth;Germany;44.0–46.3
308;Birkbeck, University of London;United Kingdom;44.0–46.3
309;Boston College;United States;44.0–46.3
310;University of Bremen;Germany;44.0–46.3
311;University of Canterbury;New Zealand;44.0–46.3
312;University of Colorado Denver/Anschutz Medical Campus;United States;44.0–46.3
313;University of Connecticut;United States;44.0–46.3
314;Curtin University;Australia;44.0–46.3
315;Cyprus University of Technology;Cyprus;44.0–46.3
316;University of Denver;United States;44.0–46.3
317;University of Toulouse;France;44.0–46.3
318;George Mason University;United States;44.0–46.3
319;Grenoble Alpes University;France;44.0–46.3
320;Heriot-Watt University;United Kingdom;44.0–46.3
321;University of Houston;United States;44.0–46.3
322;University of Houston;Russian Federation;44.0–46.3
323;Khalifa University;United Arab Emirates;44.0–46.3
324;La Trobe University;Australia;44.0–46.3
325;University of Liège;Belgium;44.0–46.3
326;University of Malaya;Malaysia;44.0–46.3
327;University of Milan;Italy;44.0–46.3
328;Montpellier University;France;44.0–46.3
329;Nagoya University;Japan;44.0–46.3
330;University of Naples Federico II;Italy;44.0–46.3
331;University of Galway;Ireland;44.0–46.3
332;University of Newcastle;Australia;44.0–46.3
333;University of New Mexico (Main campus);United States;44.0–46.3
334;Oregon State University;United States;44.0–46.3
335;University of Pisa;Italy;44.0–46.3
336;Politecnico di Milano;Italy;44.0–46.3
337;Reykjavík University;Iceland;44.0–46.3
338;Southern University of Science and Technology (SUSTech);China;44.0–46.3
339;Stellenbosch University;South Africa;44.0–46.3
340;Sun Yat-sen University;China;44.0–46.3
341;University of Tartu;Estonia;44.0–46.3
342;Technion Israel Institute of Technology;Israel;44.0–46.3
343;The University of Tennessee-Knoxville;United States;44.0–46.3
344;TU Dortmund University;Germany;44.0–46.3
345;Tulane University;United States;44.0–46.3
346;Umeå University;Sweden;44.0–46.3
347;University College Cork;Ireland;44.0–46.3
348;Université de Versailles Saint-Quentin-en-Yvelines;France;44.0–46.3
349;Victoria University;Australia;44.0–46.3
350;University of Victoria;Canada;44.0–46.3
351;Washington State University;United States;44.0–46.3
352;Wayne State University;United States;44.0–46.3
353;Wuhan University;China;44.0–46.3
354;Aberystwyth University;United Kingdom;41.7–43.9
355;Aston University;United Kingdom;41.7–43.9
356;Autonomous University of Madrid;Spain;41.7–43.9
357;Babol Noshirvani University of Technology;Iran;41.7–43.9
358;University of California, Merced;United States;41.7–43.9
359;City, University of London;United Kingdom;41.7–43.9
360;Université Côte d'Azur;France;41.7–43.9
361;University of Crete;Greece;41.7–43.9
362;University of Cyprus;Cyprus;41.7–43.9
363;Deakin University;Australia;41.7–43.9
364;Drexel University;United States;41.7–43.9
365;University of Eastern Finland;Finland;41.7–43.9
366;Free University of Bozen-Bolzano;Italy;41.7–43.9
367;Hanyang University;South Korea;41.7–43.9
368;Hofstra University;United States;41.7–43.9
369;Huazhong University of Science and Technology;China;41.7–43.9
370;IMT Atlantique;France;41.7–43.9
371;Indian Institute of Technology Indore;India;41.7–43.9
372;University of Innsbruck;Austria;41.7–43.9
373;Iowa State University;United States;41.7–43.9
374;Jordan University of Science and Technology;Jordan;41.7–43.9
375;Justus Liebig University Giessen;Germany;41.7–43.9
376;University of Kansas;United States;41.7–43.9
377;University of Kent;United Kingdom;41.7–43.9
378;Kyung Hee University;South Korea;41.7–43.9
379;Linköping University;Sweden;41.7–43.9
380;University of Macau;Macao;41.7–43.9
381;Maynooth University;Ireland;41.7–43.9
382;University of Modena and Reggio Emilia;Italy;41.7–43.9
383;Nankai University;China;41.7–43.9
384;Nankai University;Russian Federation;41.7–43.9
385;University of Nebraska-Lincoln;United States;41.7–43.9
386;Norwegian University of Science and Technology;Norway;41.7–43.9
387;University of Perugia;Italy;41.7–43.9
388;Rensselaer Polytechnic Institute;United States;41.7–43.9
389;Rush University;United States;41.7–43.9
390;Sabancı University;Turkey;41.7–43.9
391;University of Salerno;Italy;41.7–43.9
392;University of Siena;Italy;41.7–43.9
393;University of Stirling;United Kingdom;41.7–43.9
394;University of Tasmania;Australia;41.7–43.9
395;Temple University;United States;41.7–43.9
396;University of Turku;Finland;41.7–43.9
397;United Arab Emirates University;United Arab Emirates;41.7–43.9
398;University of Vermont;United States;41.7–43.9
399;Western Sydney University;Australia;41.7–43.9
400;York University;Canada;41.7–43.9
401;The University of Alabama;United States;37.1–41.6
402;University of Alabama in Huntsville;United States;37.1–41.6
403;American University of Beirut;Lebanon;37.1–41.6
404;Australian Catholic University;Australia;37.1–41.6
405;Bangor University;United Kingdom;37.1–41.6
406;University of Bari Aldo Moro;Italy;37.1–41.6
407;Bar-Ilan University;Israel;37.1–41.6
408;University of Bordeaux;France;37.1–41.6
409;Brunel University of London;United Kingdom;37.1–41.6
410;University of Calabria;Italy;37.1–41.6
411;University of Campinas;Brazil;37.1–41.6
412;Università Cattolica del Sacro Cuore;Italy;37.1–41.6
413;Centrale Nantes;France;37.1–41.6
414;CentraleSupélec;France;37.1–41.6
415;Charles University;Czechia;37.1–41.6
416;Claude Bernard University Lyon 1;France;37.1–41.6
417;Colorado State University, Fort Collins;United States;37.1–41.6
418;Complutense University of Madrid;Spain;37.1–41.6
419;Universidad del Desarrollo;Chile;37.1–41.6
420;Diego Portales University;Chile;37.1–41.6
421;Dublin City University;Ireland;37.1–41.6
422;University of Ferrara;Italy;37.1–41.6
423;University of Florence;Italy;37.1–41.6
424;Florida International University;United States;37.1–41.6
425;Fujita Health University;Japan;37.1–41.6
426;University of Genoa;Italy;37.1–41.6
427;University of Georgia (USA);United States;37.1–41.6
428;Georgia State University;United States;37.1–41.6
429;Graz University of Technology;Austria;37.1–41.6
430;University of Greifswald;Germany;37.1–41.6
431;Gwangju Institute of Science and Technology (GIST);South Korea;37.1–41.6
432;Hamburg University of Technology;Germany;37.1–41.6
433;Harbin Institute of Technology;China;37.1–41.6
434;Hasselt University;Belgium;37.1–41.6
435;Hokkaido University;Japan;37.1–41.6
436;Hong Kong Baptist University;Hong Kong;37.1–41.6
437;Indian Institute of Technology Bombay;India;37.1–41.6
438;Indian Institute of Technology Roorkee;India;37.1–41.6
439;JSS Academy of Higher Education and Research;India;37.1–41.6
440;University of Jyväskylä;Finland;37.1–41.6
441;University of Kaiserslautern;Germany;37.1–41.6
442;University of Kentucky;United States;37.1–41.6
443;Koç University;Turkey;37.1–41.6
444;University of KwaZulu-Natal;South Africa;37.1–41.6
445;Kyushu University;Japan;37.1–41.6
446;Leibniz University Hannover;Germany;37.1–41.6
447;University of Lille;France;37.1–41.6
448;Loughborough University;United Kingdom;37.1–41.6
449;University of Manitoba;Canada;37.1–41.6
450;Marche Polytechnic University;Italy;37.1–41.6
451;Middlesex University;United Kingdom;37.1–41.6
452;University of Milan-Bicocca;Italy;37.1–41.6
453;University of Montana;United States;37.1–41.6
454;Murdoch University;Australia;37.1–41.6
455;National Taiwan University of Science and Technology (Taiwan Tech);Taiwan;37.1–41.6
456;National Tsing Hua University;Taiwan;37.1–41.6
457;University of Nebraska Medical Center;United States;37.1–41.6
458;New Mexico Institute of Mining and Technology;United States;37.1–41.6
459;Northern Arizona University;United States;37.1–41.6
460;Northumbria University;United Kingdom;37.1–41.6
461;University of Oklahoma;United States;37.1–41.6
462;Örebro University;Sweden;37.1–41.6
463;University of Pavia;Italy;37.1–41.6
464;University of Plymouth;United Kingdom;37.1–41.6
465;Polytechnic University of Bari;Italy;37.1–41.6
466;Polytechnic University of Turin;Italy;37.1–41.6
467;University of Porto;Portugal;37.1–41.6
468;University of Portsmouth;United Kingdom;37.1–41.6
469;Qatar University;Qatar;37.1–41.6
470;RMIT University;Australia;37.1–41.6
471;University of Rome II – Tor Vergata;Italy;37.1–41.6
472;University of Rome III;Italy;37.1–41.6
473;Rovira i Virgili University;Spain;37.1–41.6
474;Royal Veterinary College;United Kingdom;37.1–41.6
475;University of St Gallen;Switzerland;37.1–41.6
476;University of Saskatchewan;Canada;37.1–41.6
477;Sciences Po;France;37.1–41.6
478;Semmelweis University;Hungary;37.1–41.6
479;University of Siegen;Germany;37.1–41.6
480;SOAS University of London;United Kingdom;37.1–41.6
481;University of South Carolina-Columbia;United States;37.1–41.6
482;University of Strasbourg;France;37.1–41.6
483;University of Strathclyde;United Kingdom;37.1–41.6
484;SUNY University at Albany;United States;37.1–41.6
485;Swinburne University of Technology;Australia;37.1–41.6
486;Tampere University of Technology;Finland;37.1–41.6
487;Teikyo University;Japan;37.1–41.6
488;Tokyo Medical and Dental University (TMDU);Japan;37.1–41.6
489;Tokyo Metropolitan University;Japan;37.1–41.6
490;Tongji University;China;37.1–41.6
491;University of Trieste;Italy;37.1–41.6
492;University of Tsukuba;Japan;37.1–41.6
493;The University of Tulsa;United States;37.1–41.6
494;University of Turin;Italy;37.1–41.6
495;UiT The Arctic University of Norway;Norway;37.1–41.6
496;University of Urbino Carlo Bo;Italy;37.1–41.6
497;University of Valencia;Spain;37.1–41.6
498;Verona University;Italy;37.1–41.6
499;Victoria University of Wellington;New Zealand;37.1–41.6
500;University of Waikato;New Zealand;37.1–41.6
501;University of the West of Scotland;United Kingdom;37.1–41.6
502;University of Wisconsin-Milwaukee;United States;37.1–41.6
503;Amirkabir University of Technology;Iran;33.5–37.0
504;University of Aveiro;Portugal;33.5–37.0
505;University of the Balearic Islands;Spain;33.5–37.0
506;Beihang University;China;33.5–37.0
507;University of Bergamo;Italy;33.5–37.0
508;Bilkent University;Turkey;33.5–37.0
509;Boğaziçi University;Turkey;33.5–37.0
510;Bond University;Australia;33.5–37.0
511;Université Bourgogne Franche-Comté (UBFC);France;33.5–37.0
512;Bournemouth University;United Kingdom;33.5–37.0
513;University of Brescia;Italy;33.5–37.0
514;Carleton University;Canada;33.5–37.0
515;University of Catania;Italy;33.5–37.0
516;Central Queensland University;Australia;33.5–37.0
517;Charles Darwin University;Australia;33.5–37.0
518;Chemnitz University of Technology;Germany;33.5–37.0
519;China Medical University, Taiwan;Taiwan;33.5–37.0
520;Chung-Ang University;South Korea;33.5–37.0
521;University of Coimbra;Portugal;33.5–37.0
522;Creighton University;United States;33.5–37.0
523;East China Normal University;China;33.5–37.0
524;Edith Cowan University;Australia;33.5–37.0
525;University of Graz;Austria;33.5–37.0
526;University of Guelph;Canada;33.5–37.0
527;Hacettepe University;Turkey;33.5–37.0
528;University of Hull;United Kingdom;33.5–37.0
529;Hunan University;China;33.5–37.0
530;University of Idaho;United States;33.5–37.0
531;Indian Institute of Technology Delhi;India;33.5–37.0
532;Indian Institute of Technology Kanpur;India;33.5–37.0
533;Indian Institute of Technology Kharagpur;India;33.5–37.0
534;Indian Institute of Technology Kharagpur;Russian Federation;33.5–37.0
535;Johannes Kepler University of Linz;Austria;33.5–37.0
536;University of Kashan;Iran;33.5–37.0
537;Keele University;United Kingdom;33.5–37.0
538;Kent State University;United States;33.5–37.0
539;King Saud University;Saudi Arabia;33.5–37.0
540;King Saud bin Abdulaziz University for Health Sciences;Saudi Arabia;33.5–37.0
541;University of La Laguna;Spain;33.5–37.0
542;LUT University;Finland;33.5–37.0
543;Lehigh University;United States;33.5–37.0
544;University of Limerick;Ireland;33.5–37.0
545;Lincoln University (New Zealand);New Zealand;33.5–37.0
546;University of Lisbon;Portugal;33.5–37.0
547;Liverpool John Moores University;United Kingdom;33.5–37.0
548;Louisiana State University;United States;33.5–37.0
549;Makerere University;Uganda;33.5–37.0
550;University of Maryland, Baltimore County;United States;33.5–37.0
551;Massey University;New Zealand;33.5–37.0
552;Memorial University of Newfoundland;Canada;33.5–37.0
553;Missouri University of Science and Technology;United States;33.5–37.0
554;Montana State University;United States;33.5–37.0
555;Nanjing University of Information Science and Technology;China;33.5–37.0
556;National and Kapodistrian University of Athens;Greece;33.5–37.0
557;National Cheng Kung University (NCKU);Taiwan;33.5–37.0
558;National Chiao Tung University;Taiwan;33.5–37.0
559;National Yang-Ming University;Taiwan;33.5–37.0
560;University of Neuchâtel;Switzerland;33.5–37.0
561;New Jersey Institute of Technology;United States;33.5–37.0
562;Norwegian University of Life Sciences;Norway;33.5–37.0
563;NOVA University of Lisbon;Portugal;33.5–37.0
564;NOVA University of Lisbon;Russian Federation;33.5–37.0
565;Oklahoma State University;United States;33.5–37.0
566;The Open University;United Kingdom;33.5–37.0
567;Oxford Brookes University;United Kingdom;33.5–37.0
568;University of Palermo;Italy;33.5–37.0
569;Panthéon-Sorbonne University – Paris 1;France;33.5–37.0
570;University of Parma;Italy;33.5–37.0
571;Universidad Peruana Cayetano Heredia;Peru;33.5–37.0
572;University of the Philippines;Philippines;33.5–37.0
573;Universitat Politècnica de Catalunya;Spain;33.5–37.0
574;Pontificia Universidad Javeriana;Colombia;33.5–37.0
575;Renmin University of China;China;33.5–37.0
576;Saint Louis University;United States;33.5–37.0
577;Saint Louis University;Russian Federation;33.5–37.0
578;University of Salento;Italy;33.5–37.0
579;San Diego State University;United States;33.5–37.0
580;Savitribai Phule Pune University;India;33.5–37.0
581;Sejong University;South Korea;33.5–37.0
582;Shandong University;China;33.5–37.0
583;Soochow University, China;China;33.5–37.0
584;South China University of Technology;China;33.5–37.0
585;Southeast University;China;33.5–37.0
586;Southern Cross University;Australia;33.5–37.0
587;Stevens Institute of Technology;United States;33.5–37.0
588;SUNY Binghamton University;United States;33.5–37.0
589;Taipei Medical University;Taiwan;33.5–37.0
590;The University of Texas at San Antonio;United States;33.5–37.0
591;Tianjin University;China;33.5–37.0
592;University of Toledo;United States;33.5–37.0
593;University of Toledo;Russian Federation;33.5–37.0
594;University of Toledo;Russian Federation;33.5–37.0
595;Universiti Tunku Abdul Rahman (UTAR);Malaysia;33.5–37.0
596;University of Udine;Italy;33.5–37.0
597;University of Ulsan;South Korea;33.5–37.0
598;The University of the West Indies;Jamaica;33.5–37.0
599;Worcester Polytechnic Institute;United States;33.5–37.0
600;Xiamen University;China;33.5–37.0
601;Xi’an Jiaotong University;China;33.5–37.0
602;University of the Aegean;Greece;26.0–33.4
603;The University of Aizu;Japan;26.0–33.4
604;University of Alcalá;Spain;26.0–33.4
605;University of Algarve;Portugal;26.0–33.4
606;American University in Cairo;Egypt;26.0–33.4
607;Amrita Vishwa Vidyapeetham;India;26.0–33.4
608;University of the Andes, Colombia;Colombia;26.0–33.4
609;Aristotle University of Thessaloniki;Greece;26.0–33.4
610;University of Arkansas;United States;26.0–33.4
611;Athens University of Economics and Business;Greece;26.0–33.4
612;Auburn University;United States;26.0–33.4
613;Banaras Hindu University;India;26.0–33.4
614;University of the Basque Country;Spain;26.0–33.4
615;Baylor University;United States;26.0–33.4
616;Beijing Institute of Technology;China;26.0–33.4
617;University of Beira Interior;Portugal;26.0–33.4
618;Ben-Gurion University of the Negev;Israel;26.0–33.4
619;Benha University;Egypt;26.0–33.4
620;Beni-Suef University;Egypt;26.0–33.4
621;University of Bradford;United Kingdom;26.0–33.4
622;University of Brighton;United Kingdom;26.0–33.4
623;Ca’ Foscari University of Venice;Italy;26.0–33.4
624;University of Cagliari;Italy;26.0–33.4
