rank;university;country;score
169;University of Würzburg;Germany;49.8
170;University of Groningen;Netherlands;49.7
171;Sun Yat-sen University;China;49.6
172;Goethe University Frankfurt;Germany;49.4
173;Bielefeld University;Germany;49.3
174;Nanyang Technological University, Singapore;Singapore;49.0
175;University of East Anglia;United Kingdom;49.0
176;University of Nottingham;United Kingdom;49.0
177;University of Copenhagen;Denmark;48.8
178;Humboldt University of Berlin;Germany;48.5
179;Monash University;Australia;48.5
180;University of Bonn;Germany;48.5
181;National Chiao Tung University;Taiwan;48.3
182;RWTH Aachen University;Germany;48.2
183;Middle East Technical University;Turkey;47.7
184;University of Exeter;United Kingdom;47.6
185;University of Twente;Netherlands;47.5
186;University of Konstanz;Germany;47.3
187;Karlsruhe Institute of Technology;Germany;47.2
188;University of Innsbruck;Austria;47.2
189;University of Tübingen;Germany;47.0
190;Drexel University;United States;46.9
191;University of Cincinnati – Uptown;United States;46.9
192;Yonsei University;South Korea;46.9
193;Dalhousie University;Canada;46.8
194;KTH Royal Institute of Technology;Sweden;46.8
195;University of Vienna;Austria;46.7
196;Kent State University;United States;46.5
197;University of Illinois Chicago;United States;46.4
198;Zhejiang University;China;46.4
199;Simon Fraser University;Canada;46.2
200;Swedish University of Agricultural Sciences;Sweden;46.2
