rank;university;country;score
1;California Institute of Technology;United States;95.2
2;University of Oxford;United Kingdom;94.2
3;Stanford University;United States;93.9
4;University of Cambridge;United Kingdom;92.8
5;Massachusetts Institute of Technology;United States;92
6;Harvard University;United States;91.6
7;Princeton University;United States;90.1
8;Imperial College London;United Kingdom;89.1
9;ETH Zurich;Switzerland;88.3
10;The University of Chicago;United States;87.9
11;Johns Hopkins University;United States;87.6
12;Yale University;United States;87.4
13;University of California, Berkeley;United States;87.2
14;UCL;United Kingdom;87.1
15;Columbia University;United States;86.1
16;University of California, Los Angeles;United States;85.8
17;University of Pennsylvania;United States;85.2
18;Cornell University;United States;84
19;University of Toronto;Canada;83.9
20;Duke University;United States;82.7
21;University of Michigan-Ann Arbor;United States;82.4
22;Carnegie Mellon University;United States;82.3
23;London School of Economics and Political Science;United Kingdom;81.3
24;University of Edinburgh;United Kingdom;80.3
25;Northwestern University;United States;79.5
26;National University of Singapore;Singapore;79.2
27;King’s College London;United Kingdom;78.2
28;Karolinska Institute;Sweden;77.5
29;LMU Munich;Germany;77.3
30;New York University;United States;77.2
31;École Polytechnique Fédérale de Lausanne;Switzerland;76.1
32;University of Washington;United States;75.6
33;University of Melbourne;Australia;75.4
34;University of British Columbia;Canada;75.3
35;KU Leuven;Belgium;74.8
36;University of Illinois at Urbana-Champaign;United States;74.5
37;Universität Heidelberg;Germany;74.4
38;McGill University;Canada;72.6
39;University of California, San Diego;United States;72.2
40;University of California, Santa Barbara;United States;72.2
41;Georgia Institute of Technology;United States;72.1
42;Peking University;China;72
43;The University of Tokyo;Japan;71.1
44;University of California, Davis;United States;71
45;University of Hong Kong;Hong Kong;71
46;University of Texas at Austin;United States;70.3
47;Tsinghua University;China;70
48;Wageningen University & Research;Netherlands;70
49;Humboldt University of Berlin;Germany;69.9
50;University of Wisconsin-Madison;United States;69.7
51;Brown University;United States;69.6
52;Australian National University;Australia;69.5
53;Technical University of Munich;Germany;69.4
54;École Normale Supérieure;France;69
55;Nanyang Technological University, Singapore;Singapore;68.2
56;University of Manchester;United Kingdom;68.1
57;The University of Sydney;Australia;68.1
58;University of Amsterdam;Netherlands;67.8
59;The Hong Kong University of Science and Technology;Hong Kong;67.2
60;The University of Queensland;Australia;67
61;Washington University in St Louis;United States;67
62;Utrecht University;Netherlands;66.6
63;University of North Carolina at Chapel Hill;United States;66.4
64;Boston University;United States;66.1
65;Delft University of Technology;Netherlands;65.9
66;University of Minnesota;United States;65.9
67;Leiden University;Netherlands;65.7
68;University of Southern California;United States;65.5
69;University of Bristol;United Kingdom;64.3
70;Durham University;United Kingdom;63.6
71;Erasmus University Rotterdam;Netherlands;63.5
72;Free University of Berlin;Germany;63.2
73;Monash University;Australia;62.8
74;University of Groningen;Netherlands;62.4
75;Penn State (Main campus);United States;62.3
76;University of Glasgow;United Kingdom;61.9
77;University of Helsinki;Finland;61.9
78;University of Tübingen;Germany;61.7
79;University of Pittsburgh-Pittsburgh campus;United States;61.5
80;University of Warwick;United Kingdom;61.3
81;Uppsala University;Sweden;61.2
82;University of Copenhagen;Denmark;61
83;UNSW Sydney;Australia;61
84;University of Freiburg;Germany;60.7
85;Seoul National University;South Korea;60.5
86;University of St Andrews;United Kingdom;60.4
87;Vanderbilt University;United States;60.1
88;Kyoto University;Japan;59.9
89;Maastricht University;Netherlands;59.9
90;Emory University;United States;59.7
91;Lund University;Sweden;59.7
92;Ohio State University (Main campus);United States;59.7
93;University of Exeter;United Kingdom;59.5
94;University of Bonn;Germany;58.8
95;Georgetown University;United States;58.8
96;McMaster University;Canada;58.8
97;University of Sheffield;United Kingdom;58.6
98;Queen Mary University of London;United Kingdom;58.5
99;University of Göttingen;Germany;58
100;Michigan State University;United States;58
101;University of Basel;Switzerland;57.9
102;École Polytechnique – Institut Polytechnique de Paris;France;57.9
103;Rice University;United States;57.9
104;Trinity College Dublin;Ireland;57.9
105;Dartmouth College;United States;57.8
106;University of Zurich;Switzerland;57.8
107;University of California, Irvine;United States;57.7
108;Aarhus University;Denmark;57.7
109;University of Mannheim;Germany;57.7
110;University of Notre Dame;United States;57.6
111;The University of Western Australia;Australia;57.5
112;RWTH Aachen University;Germany;57.2
113;University of Southampton;United Kingdom;57.2
114;Scuola Normale Superiore di Pisa;Italy;57.1
115;Université de Montréal;Canada;57
