rank;university;country;score
191;Wake Forest University;United States;47.3
192;University of Antwerp;Belgium;47.1
193;Iowa State University;United States;46.9
194;Technion Israel Institute of Technology;Israel;46.9
195;University of Miami;United States;46.9
196;University of Leicester;United Kingdom;46.7
197;University of Victoria;Canada;46.7
198;University at Buffalo;United States;46.6
199;Goethe University Frankfurt;Germany;46.4
200;Birkbeck, University of London;United Kingdom;46.2
201;Aalborg University;Denmark;-
202;Aalto University;Finland;-
203;Aberystwyth University;United Kingdom;-
204;Universitat Autònoma de Barcelona (UAB);Spain;-
205;Autonomous University of Madrid;Spain;-
206;Bangor University;United Kingdom;-
207;University of Bayreuth;Germany;-
208;Bielefeld University;Germany;-
209;Bilkent University;Turkey;-
210;SUNY Binghamton University;United States;-
211;Boğaziçi University;Turkey;-
212;Brandeis University;United States;-
213;Brunel University of London;United Kingdom;-
214;Cardiff University;United Kingdom;-
215;Carleton University;Canada;-
216;Chalmers University of Technology;Sweden;-
217;Charles Darwin University;Australia;-
218;Charles University;Czechia;-
219;Claude Bernard University Lyon 1;France;-
220;Colorado State University, Fort Collins;United States;-
221;Creighton University;United States;-
222;Dalhousie University;Canada;-
223;Deakin University;Australia;-
224;Drexel University;United States;-
225;Flinders University;Australia;-
226;Florida Institute of Technology;United States;-
227;Fudan University;China;-
228;George Mason University;United States;-
229;Georgia Health Sciences University;United States;-
230;Heriot-Watt University;United Kingdom;-
231;Hokkaido University;Japan;-
232;Hong Kong Baptist University;Hong Kong;-
233;The Hong Kong Polytechnic University;Hong Kong;-
234;Indian Institute of Technology Bombay;India;-
235;Indian Institute of Technology Kharagpur;India;-
236;Indian Institute of Technology Roorkee;India;-
237;Istanbul Technical University;Turkey;-
238;Jagiellonian University;Poland;-
239;Johannes Gutenberg University of Mainz;Germany;-
240;Johannes Kepler University of Linz;Austria;-
241;Keele University;United Kingdom;-
242;Keio University;Japan;-
243;King Abdulaziz University;Saudi Arabia;-
244;King Mongkut’s University of Technology Thonburi;Thailand;-
245;Koç University;Turkey;-
246;Korea University;South Korea;-
247;Kyushu University;Japan;-
248;Université Laval;Canada;-
249;Lehigh University;United States;-
250;Leibniz University Hannover;Germany;-
251;Linköping University;Sweden;-
252;Linköping University;Russian Federation;-
253;Loughborough University;United Kingdom;-
254;Macquarie University;Australia;-
255;Massey University;New Zealand;-
256;Medical University of Vienna;Austria;-
257;Middle East Technical University;Turkey;-
258;Mines ParisTech;France;-
259;Montpellier University;France;-
260;Murdoch University;Australia;-
261;Nagoya University;Japan;-
262;Nanjing University;China;-
263;National Autonomous University of Mexico;Mexico;-
264;National Central University;Taiwan;-
265;National Cheng Kung University (NCKU);Taiwan;-
266;National Chiao Tung University;Taiwan;-
267;National Chiao Tung University;Russian Federation;-
268;National Sun Yat-Sen University;Taiwan;-
269;National Taiwan University of Science and Technology (Taiwan Tech);Taiwan;-
270;National Tsing Hua University;Taiwan;-
271;University of Galway;Ireland;-
272;Maynooth University;Ireland;-
273;North Carolina State University;United States;-
274;Northeastern University, US;United States;-
275;Norwegian University of Science and Technology;Norway;-
276;Oregon State University;United States;-
277;Paris Dauphine University;France;-
278;Politecnico di Milano;Italy;-
279;Polytechnic University of Valencia;Spain;-
280;Pompeu Fabra University;Spain;-
281;Queensland University of Technology;Australia;-
282;Queen’s University Belfast;United Kingdom;-
283;Queen’s University;Canada;-
284;Renmin University of China;China;-
285;Ruhr University Bochum;Germany;-
286;Sapienza University of Rome;Italy;-
287;Shanghai Jiao Tong University;China;-
288;Sharif University of Technology;Iran;-
289;Simon Fraser University;Canada;-
290;Southern Methodist University;United States;-
291;St George’s, University of London;United Kingdom;-
292;University of Campinas;Brazil;-
293;SUNY University at Albany;United States;-
294;Stellenbosch University;South Africa;-
295;Sun Yat-sen University;China;-
296;Sungkyunkwan University (SKKU);South Korea;-
297;Swedish University of Agricultural Sciences;Sweden;-
298;Temple University;United States;-
299;Tilburg University;Netherlands;-
300;Tokyo Medical and Dental University (TMDU);Japan;-
301;Tokyo Metropolitan University;Japan;-
302;Technical University of Darmstadt;Germany;-
303;TU Dresden;Germany;-
304;Tulane University;United States;-
305;UiT The Arctic University of Norway;Norway;-
306;Umeå University;Sweden;-
307;Université Libre de Bruxelles;Belgium;-
308;University College Cork;Ireland;-
309;University of Aveiro;Portugal;-
310;University of Barcelona;Spain;-
311;University of Bath;United Kingdom;-
312;University of Bergen;Norway;-
313;University of Bologna;Italy;-
314;University of Calgary;Canada;-
315;University of Canterbury;New Zealand;-
316;University of Cincinnati – Uptown;United States;-
317;University of Connecticut;United States;-
318;University of Crete;Greece;-
319;University of Duisburg-Essen;Germany;-
320;University of Dundee;United Kingdom;-
321;University of Eastern Finland;Finland;-
322;University of Erlangen-Nuremberg;Germany;-
323;University of Essex;United Kingdom;-
324;University of Ferrara;Italy;-
325;University of Fribourg;Switzerland;-
326;University of Georgia (USA);United States;-
327;University of Gothenburg;Sweden;-
328;University of Graz;Austria;-
329;University of Guelph;Canada;-
330;University of Hertfordshire;United Kingdom;-
331;University of Houston;United States;-
332;University of Iceland;Iceland;-
333;University of Innsbruck;Austria;-
334;University of Jyväskylä;Finland;-
335;University of Kansas;United States;-
336;University of Kentucky;United States;-
337;University of Kiel;Germany;-
338;University of Konstanz;Germany;-
339;University of KwaZulu-Natal;South Africa;-
340;University of Liège;Belgium;-
341;University of Manitoba;Canada;-
342;University of Maryland, Baltimore County;United States;-
343;University of Milan-Bicocca;Italy;-
344;University of Milan;Italy;-
345;University of Minho;Portugal;-
346;Mizzou - University of Missouri;United States;-
347;University of Modena and Reggio Emilia;Italy;-
348;University of Montana;United States;-
349;University of Münster;Germany;-
350;University of Newcastle;Australia;-
351;University of Oklahoma;United States;-
352;University of Oregon;United States;-
353;University of Oslo;Norway;-
354;University of Otago;New Zealand;-
355;University of Padua;Italy;-
356;University of Pavia;Italy;-
357;University of Pisa;Italy;-
358;University of Porto;Portugal;-
359;University of Portsmouth;United Kingdom;-
360;University of Salento;Italy;-
361;University of Science and Technology of China;China;-
362;University of South Australia;Australia;-
363;University of South Carolina-Columbia;United States;-
364;University of South Florida (Tampa);United States;-
365;University of Southern Denmark;Denmark;-
366;University of Stirling;United Kingdom;-
367;University of Strasbourg;France;-
368;University of Strathclyde;United Kingdom;-
369;University of Surrey;United Kingdom;-
370;University of Tampere;Finland;-
371;University of Tartu;Estonia;-
372;University of Tasmania;Australia;-
373;University of Technology Sydney;Australia;-
374;The University of Texas at San Antonio;United States;-
375;University of the Andes, Colombia;Colombia;-
376;University of the Witwatersrand;South Africa;-
377;University of Trento;Italy;-
378;University of Trieste;Italy;-
379;University of Tsukuba;Japan;-
380;University of Tübingen;Germany;-
381;University of Turin;Italy;-
382;University of Valencia;Spain;-
383;University of Vermont;United States;-
384;University of Vigo;Spain;-
385;University of Waikato;New Zealand;-
386;University of Warsaw;Poland;-
387;University of Waterloo;Canada;-
388;University of Wollongong;Australia;-
389;University of Würzburg;Germany;-
390;University of Wyoming;United States;-
391;Victoria University of Wellington;New Zealand;-
392;TU Wien;Austria;-
393;Virginia Polytechnic Institute and State University;United States;-
394;Vrije Universiteit Brussel;Belgium;-
395;Waseda University;Japan;-
396;Washington State University;United States;-
397;Wayne State University;United States;-
398;Western University;Canada;-
399;York University;Canada;-
400;Zhejiang University;China;-
