institution;country;production;year
Chinese Academy of Medical Sciences & Peking Union Medical College;China;5387;2016
Albert Einstein College of Medicine;United States;3071;2016
Indiana University School of Medicine;United States;3501;2016
Tokyo University of Science;Japan;2212;2016
Martin Luther University Halle-Wittenberg;Germany;2264;2016
Universidade Federal de São Carlos;Brazil;3509;2016
Universidade Federal da Bahia;Brazil;2577;2016
Florida College;United States;1478;2016
Weatherford College;United States;611;2016
Sağlık Bilimleri Üniversitesi;Türkiye;273;2016
Seattle University;United States;1712;2016
Institute of Medical Sciences;India;2387;2016
Université Paris 1 Panthéon-Sorbonne;France;2036;2016
University of Rajasthan;India;309;2016
University of Novi Sad;Serbia;2189;2016
Institut Agama Islam Negeri Bengkulu;Indonesia;1151;2016
University of Bayreuth;Germany;1365;2016
Center for Astrophysics Harvard & Smithsonian;United States;1108;2016
Ulsan College;South Korea;2316;2016
Université Paris Nanterre;France;2129;2016
Osaka Prefecture University;Japan;1156;2016
Moscow State University;Tajikistan;975;2016
Saveetha University;India;399;2016
Shahid Beheshti University;Iran;1956;2016
Marymount University;United States;941;2016
China University of Petroleum, East China;China;1477;2016
SRM Institute of Science and Technology;India;648;2016
Islamic Azad University, Science and Research Branch;Iran;2555;2016
Vita-Salute San Raffaele University;Italy;1307;2016
Providence College;United States;1151;2016
Université Paris 8;France;1383;2016
Miami University;United States;1170;2016
Southern California University for Professional Studies;United States;833;2016
Novosibirsk State University;Russia;2269;2016
University of Gdańsk;Poland;1629;2016
Pontifícia Universidade Católica do Rio Grande do Sul;Brazil;2009;2016
Philadelphia University;United States;876;2016
John Brown University;United States;647;2016
University School;United States;947;2016
Nagoya Institute of Technology;Japan;1108;2016
Dalian University;China;1507;2016
Wheaton College - Illinois;United States;125;2016
Johannes Kepler University of Linz;Austria;1284;2016
California University of Pennsylvania;United States;1125;2016
Institut Polytechnique de Bordeaux;France;1669;2016
University of Electro-Communications;Japan;1097;2016
Institut polytechnique de Grenoble;France;1081;2016
New Jersey Institute of Technology;United States;1017;2016
Rochester Institute of Technology;United States;1120;2016
Universidade Federal de Campina Grande;Brazil;1488;2016
Universidad de Londres;Mexico;586;2016
Shandong Normal University;China;737;2016
Kyoto Prefectural University of Medicine;Japan;813;2016
Universidade de Ribeirão Preto;Brazil;1479;2016
Peter the Great St. Petersburg Polytechnic University;Russia;1464;2016
Universitas Muhammadiyah Tapanuli Selatan;Indonesia;1106;2016
Transnational Press London;United Kingdom;1200;2016
Instituto Superior Técnico;Portugal;554;2016
Universidade Federal de Mato Grosso;Brazil;1634;2016
Université de Picardie Jules Verne;France;1545;2016
Universidade Federal Rural de Pernambuco;Brazil;1458;2016
Universitas Patria Artha;Indonesia;671;2016
École Pratique des Hautes Études;France;1073;2016
Institute of Cancer Research;United Kingdom;884;2016
Universitas Negeri Surabaya;Indonesia;515;2016
Teikyo University;Japan;696;2016
Bridge University;South Sudan;678;2016
Nippon Medical School;Japan;822;2016
Université Toulouse - Jean Jaurès;France;1279;2016
Illinois College;United States;612;2016
University of Massachusetts Lowell;United States;990;2016
Sofia University "St. Kliment Ohridski";Bulgaria;778;2016
University of Augsburg;Germany;1056;2016
Korea University of Science and Technology;South Korea;1473;2016
University of Nis;Serbia;1328;2016
University of Yamanashi;Japan;757;2016
University of Nairobi;Kenya;888;2016
Democritus University of Thrace;Greece;978;2016
Universidade Federal do Rio Grande;Brazil;1124;2016
Université Sorbonne Nouvelle;France;1155;2016
Université de Yaoundé I;Cameroon;960;2016
Universidade Federal Rural do Rio de Janeiro;Brazil;1150;2016
Université Paris Dauphine-PSL;France;941;2016
