institution;country;production;year
Annamalai University;India;1086;2016
Suez Canal University;Egypt;938;2016
Akita University;Japan;589;2016
Universitat de Miguel Hernández d'Elx;Spain;874;2016
The Graduate University for Advanced Studies, SOKENDAI;Japan;909;2016
University of Baltimore;United States;663;2016
University of Rijeka;Croatia;1018;2016
University of Mons;Belgium;844;2016
Jilin Medical University;China;816;2016
FH Aachen;Germany;331;2016
Johnson University;United States;637;2016
Doshisha University;Japan;787;2016
Sunan Kalijaga State Islamic University Yogyakarta;Indonesia;668;2016
State University of Makassar;Indonesia;461;2016
National Chung Cheng University;Taiwan;668;2016
China Jiliang University;China;619;2016
Munich University of Applied Sciences;Germany;229;2016
Christ University;India;493;2016
V. N. Karazin Kharkiv National University;Ukraine;723;2016
Hamburg University of Technology;Germany;826;2016
Alexandru Ioan Cuza University;Romania;933;2016
Menlo School;United States;441;2016
Lambung Mangkurat University;Indonesia;853;2016
Universidade Brasil;Brazil;532;2016
Witten/Herdecke University;Germany;807;2016
Hamamatsu University School of Medicine;Japan;587;2016
Albany State University;United States;556;2016
Technical University of Košice;Slovakia;925;2016
AgroParisTech;France;1057;2016
Lviv University;Ukraine;457;2016
Riau University;Indonesia;366;2016
University of Algarve;Portugal;883;2016
CY Cergy Paris Université;France;768;2016
Wroclaw University of Economics and Business;Poland;1092;2016
Magna Graecia University;Italy;702;2016
Universidad del Noreste;Mexico;576;2016
Urbana University;United States;419;2016
Tokyo Medical University;Japan;695;2016
Universidad Pablo de Olavide;Spain;971;2016
Brooklyn College;United States;399;2016
Fukushima Medical University;Japan;694;2016
Moscow Power Engineering Institute;Russia;549;2016
Universitas PGRI Semarang;Indonesia;398;2016
Shenyang University of Technology;China;322;2016
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”;Ukraine;730;2016
National Institute of Technology Tiruchirappalli;India;739;2016
École Nationale Supérieure des Mines de Paris;France;481;2016
Graphic Era University;India;246;2016
University of Sciences and Technology Houari Boumediene;Algeria;932;2016
University of Ilorin;Nigeria;652;2016
Polytechnic University of Bari;Italy;734;2016
Andhra University;India;716;2016
Roskilde University;Denmark;1523;2016
Université Toulouse-I-Capitole;France;824;2016
The King's College;United States;363;2016
Pondicherry University;India;964;2016
Mulawarman University;Indonesia;767;2016
Saratov State University;Russia;642;2016
Graduate School USA;United States;1116;2016
Universität der Bundeswehr München;Germany;580;2016
Vilnius Gediminas Technical University;Lithuania;785;2016
Chinese University of Hong Kong, Shenzhen;China;387;2016
Institute of Chemical Technology;India;592;2016
Shibaura Institute of Technology;Japan;527;2016
Yuan Ze University;Taiwan;531;2016
Government College University, Faisalabad;Pakistan;411;2016
Jacksonville College;United States;541;2016
Universitas Islam Negeri Sumatera Utara;Indonesia;91;2016
Courant Institute of Mathematical Sciences;United States;422;2016
University of Lahore;Pakistan;331;2016
Indian Association for the Cultivation of Science;India;461;2016
UCL Australia;Australia;85;2016
Indian Institute of Technology Hyderabad;India;686;2016
Vienna University of Economics and Business;Austria;686;2016
University of Évora;Portugal;753;2016
Tarumanagara University;Indonesia;137;2016
National Yunlin University of Science and Technology;Taiwan;455;2016
Nnamdi Azikiwe University;Nigeria;750;2016
Universidade Federal do Tocantins;Brazil;783;2016
University of Lincoln;United Kingdom;698;2016
King George's Medical University;India;797;2016
St. Marianna University School of Medicine;Japan;463;2016
Université Paul-Valéry Montpellier;France;761;2016
Sathyabama Institute of Science and Technology;India;705;2016
University of Port Harcourt;Nigeria;698;2016
Universidade Estadual de Feira de Santana;Brazil;686;2016
Saints Cyril and Methodius University of Skopje;North Macedonia;744;2016
Symbiosis International University;India;540;2016
University of Zielona Góra;Poland;806;2016
Berkeley College;United States;647;2016
Moscow Aviation Institute;Russia;426;2016
Liaoning Normal University;China;324;2016
Karlsruhe University of Education;Germany;592;2016
University of Žilina;Slovakia;943;2016
École Normale Supérieure Paris-Saclay;France;735;2016
Iranshahr University;Iran;753;2016
Zhejiang University of Science and Technology;China;348;2016
Bharathidasan University;India;587;2016
Colegio de Postgraduados;Mexico;527;2016
South Ural State University;Russia;638;2016
Tanjungpura University;Indonesia;348;2016
University of Economics in Katowice;Poland;1201;2016
All India Institute of Medical Sciences Bhopal;India;468;2016
Institute of Engineering;Nepal;584;2016
Muğla University;Türkiye;782;2016
Goldsmiths University of London;United Kingdom;631;2016
Central University of Rajasthan;India;192;2016
All India Institute of Medical Sciences Raipur;India;443;2016
Università della Svizzera italiana;Switzerland;583;2016
Université de Toulon;France;635;2016
Financial University;Russia;263;2016
Siksha O Anusandhan University;India;564;2016
Bucharest University of Economic Studies;Romania;580;2016
Afyon Kocatepe University;Türkiye;663;2016
Universitas Halu Oleo;Indonesia;483;2016
Heidelberg University;United States;150;2016
Universidade Luterana do Brasil;Brazil;1596;2016
Tamil Nadu Agricultural University;India;449;2016
Montanuniversität Leoben;Austria;771;2016
Palo Alto University;United States;625;2016
San Raffaele University of Rome;Italy;654;2016
University of Calabar;Nigeria;539;2016
East China Jiaotong University;China;335;2016
Institute for Theoretical and Experimental Physics;Russia;555;2016
Moscow State Institute of International Relations;Russia;564;2016
Near East University;Cyprus;521;2016
University of Pembangunan Nasional Veteran Jawa Timur;Indonesia;109;2016
École Normale Supérieure;Burundi;456;2016
Oklahoma State University Oklahoma City;United States;385;2016
Capital University;United States;211;2016
Mercu Buana University;Indonesia;288;2016
Poznań University of Economics and Business;Poland;850;2016
Universidade Católica Portuguesa;Portugal;651;2016
Bharati Vidyapeeth Deemed University;India;694;2016
University of Hagen;Germany;485;2016
Utsunomiya University;Japan;385;2016
Universitas Pendidikan Ganesha;Indonesia;205;2016
California State University Los Angeles;United States;309;2016
University of Benin;Nigeria;563;2016
University of America;United States;359;2016
Université Ibn-Tofail;Morocco;449;2016
Université Bourgogne Franche-Comté;France;857;2016
Arts et Métiers;France;475;2016
University of the Philippines Diliman;Philippines;615;2016
University of Bamberg;Germany;672;2016
Université Jean Monnet;France;515;2016
University of Białystok;Poland;705;2016
Université Rennes 2;France;745;2016
Sardar Vallabhbhai National Institute of Technology Surat;India;638;2016
Sohag University;Egypt;525;2016
Universidad de Los Andes;Bolivia;574;2016
Clark University;United States;402;2016
Politeknik Kesehatan Kemenkes Semarang;Indonesia;522;2016
Izmir Kâtip Çelebi University;Türkiye;682;2016
Ankara Sosyal Bilimler Üniversitesi;Türkiye;630;2016
Temple College;United States;450;2016
Dr. Hari Singh Gour University;India;424;2016
University of Shizuoka;Japan;318;2016
Folkwang University of the Arts;Germany;733;2016
University of Craiova;Romania;582;2016
Université de Haute-Alsace;France;600;2016
Tbilisi State University;Georgia;708;2016
University of Sargodha;Pakistan;399;2016
College of Law;Latvia;460;2016
University of Pavol Jozef Šafárik;Slovakia;516;2016
Zunyi Medical University;China;278;2016
Samara National Research University;Russia;841;2016
Jamia Hamdard;India;508;2016
Sunan Gunung Djati State Islamic University Bandung;Indonesia;325;2016
Universitas Muhammadiyah Jember;Indonesia;207;2016
Universitas Muhammadiyah Malang;Indonesia;405;2016
University of Babylon;Iraq;283;2016
Université d'Artois;France;468;2016
University of New Hampshire at Manchester;United States;330;2016
Aerospace Information Research Institute;China;2;2016
New Mexico Institute of Mining and Technology;United States;324;2016
University of Indianapolis;United States;650;2016
Universitas Islam Negeri Raden Intan Lampung;Indonesia;446;2016
Birla Institute of Technology, Mesra;India;704;2016
Xi'an Shiyou University;China;299;2016
Ho Chi Minh City University of Technology;Vietnam;521;2016
Supélec;France;163;2016
Institute of Science and Technology;Nepal;321;2016
Universitas Nusa Bangsa;Indonesia;298;2016
Jiangxi Agricultural University;China;265;2016
Bangladesh Agricultural University;Bangladesh;672;2016
Shandong University of Traditional Chinese Medicine;China;173;2016
Université d'Abomey-Calavi;Benin;604;2016
Universitas Pamulang;Indonesia;89;2016
Universidade de Caxias do Sul;Brazil;727;2016
Institut Agro Montpellier;France;492;2016
Punjabi University;India;739;2016
International University of Health and Welfare;Japan;344;2016
Chimie ParisTech;France;325;2016
Marshall University;United States;440;2016
Gembloux Agro-Bio Tech;Belgium;339;2016
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology;India;384;2016
International Islamic University, Islamabad;Pakistan;518;2016
Ochanomizu University;Japan;266;2016
University of Puerto Rico-Mayaguez;Puerto Rico;432;2016
Tianjin University of Traditional Chinese Medicine;China;366;2016
District University of Bogotá;Colombia;753;2016
Universidade Federal da Grande Dourados;Brazil;757;2016
Fayoum University;Egypt;462;2016
Royal Military College of Canada;Canada;312;2016
Bohai University;China;613;2016
State University of Norte Fluminense;Brazil;569;2016
University of Kashmir;India;496;2016
University of Science and Technology;Yemen;302;2016
Pedagogical University;Mozambique;259;2016
Badji Mokhtar-Annaba University;Algeria;626;2016
University of Cape Coast;Ghana;382;2016
Université Paris-Panthéon-Assas;France;526;2016
National Taipei University;Taiwan;500;2016
Moscow State University of Civil Engineering;Russia;434;2016
University of Piraeus;Greece;440;2016
Maulana Azad Medical College;India;451;2016
University Frères Mentouri Constantine 1;Algeria;582;2016
Taiyuan University of Science and Technology;China;315;2016
Wilmington University;United States;166;2016
Universidade do Estado de Mato Grosso;Brazil;731;2016
University of Koblenz and Landau;Germany;533;2016
University of Arkansas at Little Rock;United States;333;2016
University Town of Shenzhen;China;760;2016
Universidade Estadual do Centro-Oeste;Brazil;684;2016
University of Cartagena;Colombia;536;2016
Universidade do Estado do Pará;Brazil;456;2016
École Centrale de Lille;France;428;2016
Yan'an University;China;175;2016
Chiba Institute of Technology;Japan;341;2016
Jakarta State Polytechnic;Indonesia;278;2016
University of Montenegro;Montenegro;550;2016
Universidade Paulista;Brazil;567;2016
Datta Meghe Institute of Medical Sciences;India;127;2016
New School;United States;345;2016
Baruch College;United States;400;2016
Universidade Estadual de Goiás;Brazil;824;2016
Hunan University of Technology;China;167;2016
Don State Technical University;Russia;239;2016
Universitas Muhammadiyah Sidoarjo;Indonesia;138;2016
King's College School;United Kingdom;227;2016
Bayero University Kano;Nigeria;440;2016
Heilongjiang Institute of Technology;China;289;2016
University of Zambia;Zambia;349;2016
University of Pannonia;Hungary;347;2016
Université de Dschang;Cameroon;362;2016
Rotterdam University of Applied Sciences;The Netherlands;178;2016
Islamic Azad University South Tehran Branch;Iran;661;2016
ParisTech;France;730;2016
Indraprasta Pgri University;Indonesia;310;2016
Hsin Sheng College of Medical Care and Management;Taiwan;25;2016
University of Sannio;Italy;544;2016
Technical University of Crete;Greece;453;2016
West University of Timişoara;Romania;473;2016
Mohamed I University;Morocco;432;2016
Saint Petersburg State Electrotechnical University;Russia;592;2016
Seton Hall University;United States;397;2016
Zhaotong University;China;73;2016
Satya Wacana Christian University;Indonesia;322;2016
Southern Illinois University Edwardsville;United States;386;2016
University of Singaperbangsa Karawang;Indonesia;130;2016
Sam Houston State University;United States;417;2016
Christian Medical College;India;449;2016
University of Limpopo;South Africa;398;2016
Universitas Nahdlatul Ulama Indonesia;Indonesia;98;2016
Université Lille Nord de France;France;414;2016
Hadassah Academic College;Israel;107;2016
Universidade Federal dos Vales do Jequitinhonha e Mucuri;Brazil;549;2016
Universidade Federal de Rondônia;Brazil;476;2016
Universitas Muslim Indonesia;Indonesia;162;2016
Universidad de Ciencias Médicas de la Habana;Cuba;671;2016
Université Ibn Zohr;Morocco;405;2016
IAIN Palangka Raya;Indonesia;670;2016
Muroran Institute of Technology;Japan;360;2016
Universidade Federal de Alfenas;Brazil;508;2016
University of Guayaquil;Ecuador;380;2016
Institut Agama Islam Negeri Manado;Indonesia;1041;2016
University of Miskolc;Hungary;325;2016
Universidad César Vallejo;Peru;213;2016
Institut Supérieur de l'Électronique et du Numérique;France;380;2016
Paris School of Economics;France;644;2016
École nationale des ponts et chaussées;France;400;2016
El Colegio de México;Mexico;409;2016
Harbin University;China;515;2016
Louisiana Tech University;United States;386;2016
Changchun University of Technology;China;329;2016
National Institute of Technology Kurukshetra;India;640;2016
PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH;India;355;2016
École Nationale Supérieure de Chimie de Montpellier;France;420;2016
Hangzhou Medical College;China;53;2016
Westfälische Hochschule;Germany;94;2016
Universidad Central "Marta Abreu" de las Villas (UCLV);Cuba;518;2016
Chaudhary Charan Singh Haryana Agricultural University;India;203;2016
Institut Agro Rennes-Angers;France;518;2016
Université Félix Houphouët-Boigny;Ivory Coast;540;2016
Pace University;United States;446;2016
Institut National des Sciences Appliquées de Toulouse;France;287;2016
Diego Portales University;Chile;537;2016
National University of Comahue;Argentina;450;2016
Paris-Est Sup;France;610;2016
Buffalo State University;United States;287;2016
Visva-Bharati University;India;464;2016
Izmir University;Türkiye;247;2016
Bangabandhu Sheikh Mujib Medical University;Bangladesh;509;2016
Jönköping University;Sweden;430;2016
Hong Kong Metropolitan University;Hong Kong;253;2016
Dalian Jiaotong University;China;241;2016
Universidade do Oeste de Santa Catarina;Brazil;1221;2016
Xi’an University;China;241;2016
Universidad de Ciencias Medicas;Costa Rica;444;2016
University of Management and Technology;Pakistan;192;2016
Alagappa University;India;506;2016
First Pavlov State Medical University of St. Petersburg;Russia;437;2016
Helmut Schmidt University;Germany;454;2016
College of New Jersey;United States;344;2016
Mines Saint-Étienne;France;372;2016
Texas A&M Health Science Center;United States;593;2016
Universitas Muhammadiyah Kupang;Indonesia;83;2016
Medway School of Pharmacy;United Kingdom;135;2016
Forest Institute;United States;146;2016
Lake Erie College of Osteopathic Medicine;United States;82;2016
Luohe Medical College;China;84;2016
Keio University Shonan Fujisawa;Japan;117;2016
Dr D Y Patil Dental College & Hospital;India;100;2016
Escola Superior de Propaganda e Marketing;Brazil;167;2016
Isra University;Jordan;61;2016
South-West State University;Russia;121;2016
Togliatti State University;Russia;91;2016
Liverpool College;United Kingdom;6;2016
Noorul Islam University;India;153;2016
Clarendon College;United States;18;2016
Universidade Presidente Antônio Carlos;Brazil;86;2016
Ivano-Frankivsk National Technical University of Oil and Gas;Ukraine;82;2016
Kursk State Medical University;Russia;74;2016
SKEMA Business School;France;143;2016
Muhammad Nawaz Shareef University of Agriculture;Pakistan;50;2016
Harcourt Butler Technical University;India;40;2016
Centre de recherche interdisciplinaire sur les modèles esthétiques et littéraires;France;115;2016
Tumkur University;India;161;2016
Hiroshima International University;Japan;111;2016
University of French Guiana;French Guiana;164;2016
Institut Teknologi Adhi Tama Surabaya;Indonesia;123;2016
Musamus Merauke University;Indonesia;59;2016
Moscow Architectural Institute;Russia;49;2016
Center for Excellence in Education;United States;149;2016
École Supérieure de Commerce de Toulouse;France;142;2016
Brooklyn Law School;United States;114;2016
North Maharashtra University;India;205;2016
Fachhochschule Kiel;Germany;149;2016
Namibia University of Science and Technology;Namibia;169;2016
Rajiv Gandhi Technical University;India;143;2016
Universidade de Cuiabá;Brazil;221;2016
Central University of Haryana;India;50;2016
New York State School of Industrial and Labor Relations;United States;40;2016
Tashkent University of Information Technology;Uzbekistan;46;2016
Kuban State Technological University;Russia;105;2016
Andrzej Frycz Modrzewski Krakow University;Poland;207;2016
Université Abdou Moumouni;Niger;108;2016
Universidade Municipal de São Caetano do Sul;Brazil;112;2016
Al-Neelain University;Sudan;163;2016
Universidade Federal do Sul da Bahia;Brazil;103;2016
Universitas 45 Surabaya;Indonesia;131;2016
Princeton Theological Seminary;United States;57;2016
Tishk International University;Iraq;18;2016
HAN University of Applied Sciences;The Netherlands;165;2016
Universidad Técnica Estatal de Quevedo;Ecuador;149;2016
Université catholique de l'ouest;France;117;2016
The University of Texas of the Permian Basin;United States;79;2016
Universitas Internasional Semen Indonesia;Indonesia;70;2016
Institute of Business Management;Pakistan;93;2016
Andalusian School of Public Health;Spain;108;2016
Offenburg University of Applied Sciences;Germany;126;2016
National Institute of Technology;Indonesia;111;2016
Universitas Sulawesi Barat;Indonesia;31;2016
Letterkenny Institute of Technology;Ireland;14;2016
University Memory and Aging Center;United States;145;2016
Baden-Wuerttemberg Cooperative State University;Germany;206;2016
Sindh Agriculture University;Pakistan;168;2016
Kyoto College of Graduate Studies for Informatics;Japan;125;2016
Universities of Giessen and Marburg Lung Center;Germany;134;2016
St. Catherine University;United States;89;2016
Hunan Police Academy;China;38;2016
Nazi Boni University;Burkina Faso;136;2016
Hangzhou Vocational and Technical College;China;11;2016
Millersville University;United States;92;2016
Islamic Azad University, Marvdasht;Iran;226;2016
IMT Mines Alès;France;109;2016
Russian State Agrarian University - Moscow Timiryazev Agricultural Academy;Russia;56;2016
Saint Petersburg State University of Architecture and Civil Engineering;Russia;94;2016
Thiruvalluvar University;India;144;2016
Universitas Borneo Tarakan;Indonesia;41;2016
Imam Hossein University;Iran;176;2016
Kampala International University;Uganda;45;2016
State Marine Technical University of St. Petersburg;Russia;33;2016
Universidad de Guantánamo;Cuba;132;2016
Hunan University of Finance and Economics;China;57;2016
Mackay Junior College of Medicine, Nursing and Management;Taiwan;155;2016
Technological Institute of Celaya;Mexico;111;2016
Yunnan University of Traditional Chinese Medicine;China;76;2016
Juraj Dobrila University of Pula;Croatia;122;2016
Emmanuel College - Massachusetts;United States;73;2016
Krishi Vigyan Kendra, Ghatkhed Amravati;India;123;2016
Rajasthan Technical University;India;216;2016
Hanover College;United States;93;2016
Institute of Dermatology;Thailand;38;2016
J.C. Bose University of Science & Technology, YMCA;India;130;2016
B. J. Medical College & Sassoon Hospital;India;151;2016
Universitas Muhammadiyah Kendari;Indonesia;62;2016
International Management Institute;India;125;2016
Ohio Northern University;United States;102;2016
Tarleton State University;United States;113;2016
Seattle Pacific University;United States;108;2016
Drew University;United States;71;2016
National Pingtung University;Taiwan;136;2016
Winston-Salem State University;United States;146;2016
University of Shimane;Japan;71;2016
Universidad Estatal de Milagro;Ecuador;93;2016
Kuzbass State Technical University;Russia;110;2016
K S Hegde Medical Academy;India;145;2016
Hajee Mohammad Danesh Science and Technology University;Bangladesh;108;2016
Guarulhos University;Brazil;130;2016
Institute of Medical Sciences and Sum Hospital;India;112;2016
École Nationale des Greffes;France;53;2016
University of Science and Technology of Benin;Benin;101;2016
Ufuk University;Türkiye;146;2016
University of Redlands;United States;95;2016
Shaheed Suhrawardy Medical College;Bangladesh;95;2016
University of Kang Ning;Taiwan;32;2016
Urmia University of Technology;Iran;172;2016
Universidade Fundação Mineira de Educação e Cultura;Brazil;209;2016
Indian Institute of Technology Jammu;India;8;2016
Jining University;China;76;2016
Government Medical College;India;195;2016
University of El Salvador;El Salvador;123;2016
École Nationale Supérieure de Chimie de Rennes;France;99;2016
Dhanalakshmi Srinivasan Group of Institutions;India;106;2016
Xi'an International Studies University;China;54;2016
Northeast Catholic College;United States;30;2016
Universiti Teknologi Brunei;Brunei;94;2016
Eastern Liaoning University;China;47;2016
Ukrainian State University of Chemical Technology;Ukraine;82;2016
Kasturba Medical College, Mangalore;India;107;2016
Universitas Bosowa;Indonesia;20;2016
Centro Universitário UNINOVAFAPI;Brazil;136;2016
Tân Tạo University;Vietnam;60;2016
Soegijapranata Catholic University;Indonesia;55;2016
College of Tourism;Bulgaria;76;2016
Voronezh State Medical Academy named after N.N. Burdenko;Russia;91;2016
Cihan University-Erbil;Iraq;23;2016
Amur State University;Russia;55;2016
Dr. Bhim Rao Ambedkar University;India;72;2016
Instituto Federal de Educação, Ciência e Tecnologia Baiano;Brazil;160;2016
People’s University;India;133;2016
Islamic Azad University Ardabil;Iran;163;2016
Adam Smith Institute;United Kingdom;133;2016
Universidade Salgado de Oliveira;Brazil;147;2016
Universidade José do Rosário Vellano;Brazil;120;2016
Indira Gandhi Delhi Technical University for Women;India;96;2016
Odessa National Maritime University;Ukraine;51;2016
Shippensburg University;United States;81;2016
Medizinische Hochschule Brandenburg Theodor Fontane;Germany;53;2016
Henan Forestry Vocational College;China;54;2016
University of the Sacred Heart;Japan;106;2016
Insper;Brazil;108;2016
University of Zakho;Iraq;96;2016
Indiana University Indianapolis;United States;84;2016
Real Academia Española;Spain;82;2016
National Institute for Mathematical Sciences;South Korea;157;2016
Dalian Naval Academy;China;58;2016
European University of Rome;Italy;111;2016
R.V. College of Engineering;India;156;2016
Universitas Indo Global Mandiri;Indonesia;134;2016
Douglas College;Canada;62;2016
Universidad UTE;Ecuador;105;2016
Faculdades Oswaldo Cruz;Brazil;108;2016
Beijing City University;China;50;2016
Escola Superior de Saúde Egas Moniz;Portugal;93;2016
Azerbaijan Medical University;Azerbaijan;72;2016
Alsalam University College;Iraq;28;2016
Pasadena City College;United States;96;2016
Solapur University;India;162;2016
Alliance University;India;53;2016
National Institute of Technical Teachers Training and Research;India;123;2016
Université de Saida Dr.Moulay Tahar;Algeria;139;2016
Ziane Achour University of Djelfa;Algeria;100;2016
Central Institute of Fisheries Education;India;111;2016
Sichuan University of Arts and Science;China;49;2016
Kutztown University;United States;124;2016
Mirpur University of Science and Technology;Pakistan;68;2016
Ravenshaw University;India;144;2016
Universitas Muhammadiyah Parepare;Indonesia;42;2016
Liberal Arts University;Russia;94;2016
Jiangxi University of Technology;China;62;2016
Baotou Teachers College;China;28;2016
Islamic Azad University Pharmaceutical Sciences Branch;Iran;251;2016
Nasarawa State University;Nigeria;95;2016
Indian Institute of Management Indore;India;169;2016
Lawrence University;United States;67;2016
Nutrition Metabolism Aquaculture;France;105;2016
Udmurt State University;Russia;110;2016
Institute of Biological, Environmental and Rural Sciences;United Kingdom;209;2016
Shenyang Medical College;China;56;2016
National University of Jujuy;Argentina;122;2016
Texas A&M University School of Law;United States;124;2016
Turgut Özal University;Türkiye;227;2016
Universitas Widya Gama Malang;Indonesia;52;2016
Delta University for Science and Technology;Egypt;36;2016
Guangzhou Design Institute;China;13;2016
Institutt for Eksperimentell Medisinsk Forskning;Norway;45;2016
University of Vechta;Germany;133;2016
Universidad de Cuautitlán Izcalli;Mexico;101;2016
University of Suffolk;United Kingdom;59;2016
Universitas Islam Nusantara;Indonesia;41;2016
Moscow Automobile and Road Construction State Technical University;Russia;58;2016
Tajen University;Taiwan;136;2016
Petroleum & Gas University of Ploieşti;Romania;113;2016
Universidade Iguaçu;Brazil;40;2016
Orel State University named after I.S. Turgenev;Russia;69;2016
Rabindranath Tagore Medical College;India;181;2016
Islamic Azad University of Hamedan;Iran;222;2016
New York State College of Agriculture & Life Sciences;United States;57;2016
Center for Economic Research and Graduate Education – Economics Institute;Czechia;106;2016
Oranim Academic College of Education;Israel;97;2016
Azerbaijan State University of Economics;Azerbaijan;32;2016
University of Fort Lauderdale;United States;96;2016
Dnipro University of Technology;Ukraine;92;2016
Vinnytsia National Technical University;Ukraine;80;2016
National Institute for Biotechnology and Genetic Engineering;Pakistan;92;2016
Escola Superior de Ciências da Saúde;Brazil;110;2016
Catholic University of Colombia;Colombia;126;2016
Sacred Heart University;United States;97;2016
Sri Eshwar College of Engineering;India;21;2016
National University of Kyiv Mohyla Academy;Ukraine;81;2016
Ardahan University;Türkiye;80;2016
Bundelkhand University;India;100;2016
University of the Incarnate Word;United States;108;2016
Springfield College;United States;82;2016
Pacific Lutheran University;United States;92;2016
Siena College;United States;92;2016
Institut Teknologi Nasional Malang;Indonesia;184;2016
University of Bacău;Romania;158;2016
Tarsus University;Türkiye;47;2016
Pan-Atlantic University;Nigeria;56;2016
University of Muhammadiyah Mataram;Indonesia;45;2016
Frederick University;Cyprus;118;2016
Bowen University;Nigeria;66;2016
Walsh University;United States;103;2016
Dhofar University;Oman;149;2016
Universidad de Las Tunas;Cuba;180;2016
Institute of Rural Management Anand;India;132;2016
Titu Maiorescu University;Romania;84;2016
École Nationale des Chartes;France;61;2016
Peruvian Union University;Peru;71;2016
Olusegun Agagu University of Science and Technology;Nigeria;50;2016
UMIT - Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik;Austria;95;2016
École Normale Supérieure d'Abidjan;Ivory Coast;97;2016
Lincoln University College;Malaysia;36;2016
Universitas Wijayakusuma Purwokerto;Indonesia;60;2016
Indian Institute of Management Visakhapatnam;India;122;2016
Virginia State University;United States;70;2016
Universitas PGRI Yogyakarta;Indonesia;32;2016
Universidad Tecnológica Indoamérica;Ecuador;45;2016
Veszprémi Érseki Hittudományi Fõiskola;Hungary;23;2016
Hokkaido Pharmaceutical University;Japan;63;2016
Osaka Health Science University;Japan;65;2016
Technische Hochschule Mittelhessen;Germany;193;2016
